Directory of Federal Real Property
Real Property and Materiel Policy Division
Treasury Board of Canada Secretariat
Government of Canada

Security Level: Not Protected
Date: January 6th, 2023
Sort order:
Character set: ISO 8859 Latin 1
Field Delimiter: Comma
Text Qualifier: Double quote
Field Names: Included in line 16
Data: Begins on line 17
Help: DFRP-ADMIN-RBIF@tbs-sct.gc.ca

"Structure Number (TEXT data)","Structure Use Code (TEXT data)","Structure Use"
"000451","63 ","Warehouse, Storage and Workshops"
"000456","45 ","Office"
"000465","29 ","Residential"
"000471","31 ","Industrial"
"000471","63 ","Warehouse, Storage and Workshops"
"000479","63 ","Warehouse, Storage and Workshops"
"000486","29 ","Residential"
"000488","45 ","Office"
"000493","31 ","Industrial"
"000493","45 ","Office"
"000500","31 ","Industrial"
"000500","63 ","Warehouse, Storage and Workshops"
"000509","11 ","Law Enforcement and Corrections"
"000511","63 ","Warehouse, Storage and Workshops"
"000519","45 ","Office"
"000533","26 ","Health, Medical and Dental"
"000533","13 ","Assembly and Cultural"
"000533","45 ","Office"
"000533","41 ","Military"
"000533","17 ","Education and Training"
"000533","63 ","Warehouse, Storage and Workshops"
"000540","63 ","Warehouse, Storage and Workshops"
"000569","45 ","Office"
"000569","63 ","Warehouse, Storage and Workshops"
"000601","63 ","Warehouse, Storage and Workshops"
"000604","45 ","Office"
"000607","29 ","Residential"
"000611","45 ","Office"
"000616","29 ","Residential"
"000626","45 ","Office"
"000635","45 ","Office"
"000638","03 ","Transportation - Marine"
"000644","63 ","Warehouse, Storage and Workshops"
"000646","31 ","Industrial"
"000646","63 ","Warehouse, Storage and Workshops"
"000647","63 ","Warehouse, Storage and Workshops"
"000650","45 ","Office"
"000660","29 ","Residential"
"000667","29 ","Residential"
"000693","63 ","Warehouse, Storage and Workshops"
"000696","45 ","Office"
"000708","11 ","Law Enforcement and Corrections"
"000713","45 ","Office"
"000720","41 ","Military"
"000721","45 ","Office"
"000727","41 ","Military"
"000729","41 ","Military"
"000752","11 ","Law Enforcement and Corrections"
"000754","29 ","Residential"
"000755","29 ","Residential"
"000760","11 ","Law Enforcement and Corrections"
"000762","11 ","Law Enforcement and Corrections"
"000768","11 ","Law Enforcement and Corrections"
"000769","63 ","Warehouse, Storage and Workshops"
"000772","45 ","Office"
"000785","45 ","Office"
"000802","29 ","Residential"
"000831","63 ","Warehouse, Storage and Workshops"
"000897","51 ","Research and Technological Development"
"000906","45 ","Office"
"000906","63 ","Warehouse, Storage and Workshops"
"000907","51 ","Research and Technological Development"
"000907","45 ","Office"
"000907","63 ","Warehouse, Storage and Workshops"
"000913","29 ","Residential"
"000914","63 ","Warehouse, Storage and Workshops"
"000916","29 ","Residential"
"000918","45 ","Office"
"000918","17 ","Education and Training"
"000918","63 ","Warehouse, Storage and Workshops"
"000919","63 ","Warehouse, Storage and Workshops"
"000920","63 ","Warehouse, Storage and Workshops"
"000921","63 ","Warehouse, Storage and Workshops"
"000923","63 ","Warehouse, Storage and Workshops"
"000924","63 ","Warehouse, Storage and Workshops"
"000925","63 ","Warehouse, Storage and Workshops"
"000926","63 ","Warehouse, Storage and Workshops"
"000927","19 ","Services and Utilities"
"000930","11 ","Law Enforcement and Corrections"
"000933","47 ","Parks and Recreation"
"000934","45 ","Office"
"000935","63 ","Warehouse, Storage and Workshops"
"000945","47 ","Parks and Recreation"
"000950","47 ","Parks and Recreation"
"000953","01 ","Agricultural Research and Management"
"000958","33 ","Transportation - Land"
"000959","01 ","Agricultural Research and Management"
"000962","01 ","Agricultural Research and Management"
"000963","01 ","Agricultural Research and Management"
"000967","63 ","Warehouse, Storage and Workshops"
"000971","63 ","Warehouse, Storage and Workshops"
"000972","01 ","Agricultural Research and Management"
"000973","63 ","Warehouse, Storage and Workshops"
"000974","47 ","Parks and Recreation"
"000977","63 ","Warehouse, Storage and Workshops"
"000981","01 ","Agricultural Research and Management"
"000982","63 ","Warehouse, Storage and Workshops"
"000983","01 ","Agricultural Research and Management"
"000984","47 ","Parks and Recreation"
"000985","63 ","Warehouse, Storage and Workshops"
"000986","63 ","Warehouse, Storage and Workshops"
"000987","47 ","Parks and Recreation"
"000989","45 ","Office"
"000989","63 ","Warehouse, Storage and Workshops"
"000991","47 ","Parks and Recreation"
"000994","63 ","Warehouse, Storage and Workshops"
"000995","47 ","Parks and Recreation"
"001003","47 ","Parks and Recreation"
"001003","63 ","Warehouse, Storage and Workshops"
"001004","47 ","Parks and Recreation"
"001005","47 ","Parks and Recreation"
"001006","47 ","Parks and Recreation"
"001007","47 ","Parks and Recreation"
"001009","47 ","Parks and Recreation"
"001011","47 ","Parks and Recreation"
"001013","63 ","Warehouse, Storage and Workshops"
"001014","31 ","Industrial"
"001016","63 ","Warehouse, Storage and Workshops"
"001017","63 ","Warehouse, Storage and Workshops"
"001019","63 ","Warehouse, Storage and Workshops"
"001020","29 ","Residential"
"001021","63 ","Warehouse, Storage and Workshops"
"001022","63 ","Warehouse, Storage and Workshops"
"001024","47 ","Parks and Recreation"
"001025","63 ","Warehouse, Storage and Workshops"
"001026","63 ","Warehouse, Storage and Workshops"
"001031","51 ","Research and Technological Development"
"001032","29 ","Residential"
"001033","63 ","Warehouse, Storage and Workshops"
"001041","29 ","Residential"
"001043","31 ","Industrial"
"001043","63 ","Warehouse, Storage and Workshops"
"001048","31 ","Industrial"
"001048","63 ","Warehouse, Storage and Workshops"
"001049","29 ","Residential"
"001051","29 ","Residential"
"001052","63 ","Warehouse, Storage and Workshops"
"001055","63 ","Warehouse, Storage and Workshops"
"001056","60 ","Vacant"
"001059","47 ","Parks and Recreation"
"001061","29 ","Residential"
"001065","29 ","Residential"
"001066","03 ","Transportation - Marine"
"001067","03 ","Transportation - Marine"
"001071","29 ","Residential"
"001074","63 ","Warehouse, Storage and Workshops"
"001076","63 ","Warehouse, Storage and Workshops"
"001077","29 ","Residential"
"001081","01 ","Agricultural Research and Management"
"001082","11 ","Law Enforcement and Corrections"
"001083","01 ","Agricultural Research and Management"
"001107","29 ","Residential"
"001115","45 ","Office"
"001122","31 ","Industrial"
"001122","63 ","Warehouse, Storage and Workshops"
"001122","63 ","Warehouse, Storage and Workshops"
"001147","63 ","Warehouse, Storage and Workshops"
"001149","31 ","Industrial"
"001149","63 ","Warehouse, Storage and Workshops"
"001153","31 ","Industrial"
"001153","63 ","Warehouse, Storage and Workshops"
"001154","31 ","Industrial"
"001154","63 ","Warehouse, Storage and Workshops"
"001163","63 ","Warehouse, Storage and Workshops"
"001177","29 ","Residential"
"001183","63 ","Warehouse, Storage and Workshops"
"001187","13 ","Assembly and Cultural"
"001201","11 ","Law Enforcement and Corrections"
"001214","29 ","Residential"
"001235","41 ","Military"
"001238","45 ","Office"
"001238","63 ","Warehouse, Storage and Workshops"
"001247","31 ","Industrial"
"001247","63 ","Warehouse, Storage and Workshops"
"001261","63 ","Warehouse, Storage and Workshops"
"001267","45 ","Office"
"001282","63 ","Warehouse, Storage and Workshops"
"001295","45 ","Office"
"001303","45 ","Office"
"001315","31 ","Industrial"
"001315","63 ","Warehouse, Storage and Workshops"
"001323","45 ","Office"
"001383","31 ","Industrial"
"001383","63 ","Warehouse, Storage and Workshops"
"001390","31 ","Industrial"
"001390","63 ","Warehouse, Storage and Workshops"
"001400","31 ","Industrial"
"001400","63 ","Warehouse, Storage and Workshops"
"001418","41 ","Military"
"001419","19 ","Services and Utilities"
"001425","29 ","Residential"
"001432","09 ","Communications"
"001448","11 ","Law Enforcement and Corrections"
"001449","45 ","Office"
"001459","31 ","Industrial"
"001459","63 ","Warehouse, Storage and Workshops"
"001479","31 ","Industrial"
"001479","63 ","Warehouse, Storage and Workshops"
"001480","45 ","Office"
"001480","63 ","Warehouse, Storage and Workshops"
"001487","63 ","Warehouse, Storage and Workshops"
"001516","63 ","Warehouse, Storage and Workshops"
"001519","63 ","Warehouse, Storage and Workshops"
"001531","31 ","Industrial"
"001531","63 ","Warehouse, Storage and Workshops"
"001538","45 ","Office"
"001544","31 ","Industrial"
"001544","63 ","Warehouse, Storage and Workshops"
"001554","11 ","Law Enforcement and Corrections"
"001559","45 ","Office"
"001561","45 ","Office"
"001581","11 ","Law Enforcement and Corrections"
"001600","45 ","Office"
"001618","45 ","Office"
"001618","63 ","Warehouse, Storage and Workshops"
"001623","29 ","Residential"
"001624","29 ","Residential"
"001633","45 ","Office"
"001644","45 ","Office"
"001646","11 ","Law Enforcement and Corrections"
"001647","29 ","Residential"
"001648","29 ","Residential"
"001669","31 ","Industrial"
"001669","63 ","Warehouse, Storage and Workshops"
"001678","45 ","Office"
"001686","31 ","Industrial"
"001688","45 ","Office"
"001704","45 ","Office"
"001715","11 ","Law Enforcement and Corrections"
"001725","13 ","Assembly and Cultural"
"001728","63 ","Warehouse, Storage and Workshops"
"001729","41 ","Military"
"001730","45 ","Office"
"001736","45 ","Office"
"001740","31 ","Industrial"
"001740","63 ","Warehouse, Storage and Workshops"
"001744","31 ","Industrial"
"001744","63 ","Warehouse, Storage and Workshops"
"001765","31 ","Industrial"
"001765","63 ","Warehouse, Storage and Workshops"
"001769","63 ","Warehouse, Storage and Workshops"
"001778","45 ","Office"
"001780","11 ","Law Enforcement and Corrections"
"001790","63 ","Warehouse, Storage and Workshops"
"001791","29 ","Residential"
"001792","63 ","Warehouse, Storage and Workshops"
"001810","11 ","Law Enforcement and Corrections"
"001813","45 ","Office"
"001856","11 ","Law Enforcement and Corrections"
"001898","05 ","Transportation - Air"
"001903","63 ","Warehouse, Storage and Workshops"
"001908","63 ","Warehouse, Storage and Workshops"
"001914","29 ","Residential"
"001915","29 ","Residential"
"001919","31 ","Industrial"
"001919","63 ","Warehouse, Storage and Workshops"
"001922","09 ","Communications"
"001926","31 ","Industrial"
"001926","63 ","Warehouse, Storage and Workshops"
"001931","31 ","Industrial"
"001931","63 ","Warehouse, Storage and Workshops"
"001944","51 ","Research and Technological Development"
"001944","45 ","Office"
"001945","63 ","Warehouse, Storage and Workshops"
"001958","63 ","Warehouse, Storage and Workshops"
"001963","63 ","Warehouse, Storage and Workshops"
"001970","63 ","Warehouse, Storage and Workshops"
"001973","09 ","Communications"
"001981","63 ","Warehouse, Storage and Workshops"
"001994","03 ","Transportation - Marine"
"001996","09 ","Communications"
"002020","09 ","Communications"
"002023","45 ","Office"
"002024","51 ","Research and Technological Development"
"002024","45 ","Office"
"002059","26 ","Health, Medical and Dental"
"002059","45 ","Office"
"002059","41 ","Military"
"002059","80 ","Legislative, Judicial, and Diplomatic"
"002059","31 ","Industrial"
"002059","47 ","Parks and Recreation"
"002059","17 ","Education and Training"
"002059","63 ","Warehouse, Storage and Workshops"
"002067","13 ","Assembly and Cultural"
"002070","09 ","Communications"
"002071","09 ","Communications"
"002072","09 ","Communications"
"002075","09 ","Communications"
"002087","63 ","Warehouse, Storage and Workshops"
"002116","09 ","Communications"
"002119","63 ","Warehouse, Storage and Workshops"
"002153","47 ","Parks and Recreation"
"002162","09 ","Communications"
"002199","45 ","Office"
"002210","09 ","Communications"
"002236","09 ","Communications"
"002245","63 ","Warehouse, Storage and Workshops"
"002259","09 ","Communications"
"002293","09 ","Communications"
"002295","09 ","Communications"
"002296","63 ","Warehouse, Storage and Workshops"
"002298","09 ","Communications"
"002299","09 ","Communications"
"002300","09 ","Communications"
"002306","29 ","Residential"
"002333","09 ","Communications"
"002334","09 ","Communications"
"002335","09 ","Communications"
"002337","09 ","Communications"
"002338","09 ","Communications"
"002344","17 ","Education and Training"
"002344","51 ","Research and Technological Development"
"002344","45 ","Office"
"002344","41 ","Military"
"002344","31 ","Industrial"
"002344","47 ","Parks and Recreation"
"002344","63 ","Warehouse, Storage and Workshops"
"002350","11 ","Law Enforcement and Corrections"
"002370","45 ","Office"
"002382","09 ","Communications"
"002385","09 ","Communications"
"002386","09 ","Communications"
"002387","09 ","Communications"
"002389","09 ","Communications"
"002391","09 ","Communications"
"002392","09 ","Communications"
"002416","09 ","Communications"
"002424","26 ","Health, Medical and Dental"
"002424","45 ","Office"
"002424","63 ","Warehouse, Storage and Workshops"
"002425","45 ","Office"
"002425","80 ","Legislative, Judicial, and Diplomatic"
"002425","31 ","Industrial"
"002425","63 ","Warehouse, Storage and Workshops"
"002431","60 ","Vacant"
"002462","45 ","Office"
"002477","09 ","Communications"
"002480","09 ","Communications"
"002483","09 ","Communications"
"002484","63 ","Warehouse, Storage and Workshops"
"002492","63 ","Warehouse, Storage and Workshops"
"002493","03 ","Transportation - Marine"
"002504","45 ","Office"
"002522","11 ","Law Enforcement and Corrections"
"002538","45 ","Office"
"002539","31 ","Industrial"
"002556","29 ","Residential"
"002585","13 ","Assembly and Cultural"
"002589","09 ","Communications"
"002595","31 ","Industrial"
"002611","09 ","Communications"
"002628","63 ","Warehouse, Storage and Workshops"
"002645","09 ","Communications"
"002650","09 ","Communications"
"002652","09 ","Communications"
"002655","09 ","Communications"
"002665","45 ","Office"
"002673","09 ","Communications"
"002704","09 ","Communications"
"002720","29 ","Residential"
"002731","63 ","Warehouse, Storage and Workshops"
"002734","45 ","Office"
"002734","63 ","Warehouse, Storage and Workshops"
"002749","29 ","Residential"
"002750","13 ","Assembly and Cultural"
"002758","09 ","Communications"
"002778","41 ","Military"
"002835","09 ","Communications"
"002837","09 ","Communications"
"002838","09 ","Communications"
"002839","09 ","Communications"
"002840","09 ","Communications"
"002841","09 ","Communications"
"002842","09 ","Communications"
"002847","09 ","Communications"
"002874","63 ","Warehouse, Storage and Workshops"
"002877","09 ","Communications"
"002893","10 ","Commercial Retail"
"002953","80 ","Legislative, Judicial, and Diplomatic"
"002953","63 ","Warehouse, Storage and Workshops"
"002963","63 ","Warehouse, Storage and Workshops"
"002964","45 ","Office"
"002964","63 ","Warehouse, Storage and Workshops"
"002968","45 ","Office"
"002983","45 ","Office"
"002989","47 ","Parks and Recreation"
"002990","13 ","Assembly and Cultural"
"002991","13 ","Assembly and Cultural"
"002991","45 ","Office"
"002995","51 ","Research and Technological Development"
"002995","45 ","Office"
"003017","45 ","Office"
"003020","45 ","Office"
"003022","45 ","Office"
"003022","31 ","Industrial"
"003022","63 ","Warehouse, Storage and Workshops"
"003033","63 ","Warehouse, Storage and Workshops"
"003048","10 ","Commercial Retail"
"003064","09 ","Communications"
"003076","47 ","Parks and Recreation"
"003111","09 ","Communications"
"003117","09 ","Communications"
"003120","11 ","Law Enforcement and Corrections"
"003136","45 ","Office"
"003143","11 ","Law Enforcement and Corrections"
"003163","09 ","Communications"
"003164","09 ","Communications"
"003174","09 ","Communications"
"003176","11 ","Law Enforcement and Corrections"
"003184","11 ","Law Enforcement and Corrections"
"003185","45 ","Office"
"003207","45 ","Office"
"003207","31 ","Industrial"
"003207","63 ","Warehouse, Storage and Workshops"
"003207","63 ","Warehouse, Storage and Workshops"
"003217","51 ","Research and Technological Development"
"003265","03 ","Transportation - Marine"
"003277","11 ","Law Enforcement and Corrections"
"003289","45 ","Office"
"003289","31 ","Industrial"
"003289","63 ","Warehouse, Storage and Workshops"
"003318","63 ","Warehouse, Storage and Workshops"
"003319","09 ","Communications"
"003322","09 ","Communications"
"003382","09 ","Communications"
"003388","09 ","Communications"
"003392","09 ","Communications"
"003405","11 ","Law Enforcement and Corrections"
"003436","45 ","Office"
"003437","11 ","Law Enforcement and Corrections"
"003455","63 ","Warehouse, Storage and Workshops"
"003480","45 ","Office"
"003480","63 ","Warehouse, Storage and Workshops"
"003504","29 ","Residential"
"003505","11 ","Law Enforcement and Corrections"
"003539","47 ","Parks and Recreation"
"003540","09 ","Communications"
"003579","09 ","Communications"
"003580","09 ","Communications"
"003586","09 ","Communications"
"003589","09 ","Communications"
"003592","11 ","Law Enforcement and Corrections"
"003604","29 ","Residential"
"003639","63 ","Warehouse, Storage and Workshops"
"003640","13 ","Assembly and Cultural"
"003641","09 ","Communications"
"003642","29 ","Residential"
"003646","09 ","Communications"
"003647","09 ","Communications"
"003685","09 ","Communications"
"003687","09 ","Communications"
"003710","45 ","Office"
"003710","41 ","Military"
"003710","80 ","Legislative, Judicial, and Diplomatic"
"003710","31 ","Industrial"
"003710","47 ","Parks and Recreation"
"003710","17 ","Education and Training"
"003710","63 ","Warehouse, Storage and Workshops"
"003711","45 ","Office"
"003711","31 ","Industrial"
"003711","63 ","Warehouse, Storage and Workshops"
"003745","05 ","Transportation - Air"
"003759","29 ","Residential"
"003776","09 ","Communications"
"003778","09 ","Communications"
"003803","41 ","Military"
"003814","09 ","Communications"
"003821","11 ","Law Enforcement and Corrections"
"003842","45 ","Office"
"003851","29 ","Residential"
"003863","45 ","Office"
"003864","09 ","Communications"
"003875","05 ","Transportation - Air"
"003891","17 ","Education and Training"
"003891","26 ","Health, Medical and Dental"
"003891","51 ","Research and Technological Development"
"003891","45 ","Office"
"003891","41 ","Military"
"003891","80 ","Legislative, Judicial, and Diplomatic"
"003891","31 ","Industrial"
"003891","17 ","Education and Training"
"003891","63 ","Warehouse, Storage and Workshops"
"003892","45 ","Office"
"003892","31 ","Industrial"
"003892","47 ","Parks and Recreation"
"003892","17 ","Education and Training"
"003892","63 ","Warehouse, Storage and Workshops"
"003918","45 ","Office"
"003922","09 ","Communications"
"003923","09 ","Communications"
"003926","63 ","Warehouse, Storage and Workshops"
"003983","09 ","Communications"
"003984","09 ","Communications"
"003986","09 ","Communications"
"003987","09 ","Communications"
"003996","11 ","Law Enforcement and Corrections"
"004007","11 ","Law Enforcement and Corrections"
"004009","60 ","Vacant"
"004032","09 ","Communications"
"004038","09 ","Communications"
"004039","63 ","Warehouse, Storage and Workshops"
"004051","09 ","Communications"
"004065","29 ","Residential"
"004073","11 ","Law Enforcement and Corrections"
"004075","45 ","Office"
"004075","31 ","Industrial"
"004075","63 ","Warehouse, Storage and Workshops"
"004075","63 ","Warehouse, Storage and Workshops"
"004079","11 ","Law Enforcement and Corrections"
"004085","29 ","Residential"
"004086","05 ","Transportation - Air"
"004103","51 ","Research and Technological Development"
"004122","09 ","Communications"
"004168","29 ","Residential"
"004188","09 ","Communications"
"004244","45 ","Office"
"004269","47 ","Parks and Recreation"
"004272","13 ","Assembly and Cultural"
"004283","47 ","Parks and Recreation"
"004286","63 ","Warehouse, Storage and Workshops"
"004289","63 ","Warehouse, Storage and Workshops"
"004299","09 ","Communications"
"004312","63 ","Warehouse, Storage and Workshops"
"004315","63 ","Warehouse, Storage and Workshops"
"004338","11 ","Law Enforcement and Corrections"
"004339","47 ","Parks and Recreation"
"004378","17 ","Education and Training"
"004378","26 ","Health, Medical and Dental"
"004378","51 ","Research and Technological Development"
"004378","45 ","Office"
"004378","41 ","Military"
"004378","31 ","Industrial"
"004378","63 ","Warehouse, Storage and Workshops"
"004409","45 ","Office"
"004425","63 ","Warehouse, Storage and Workshops"
"004428","31 ","Industrial"
"004428","63 ","Warehouse, Storage and Workshops"
"004433","09 ","Communications"
"004434","09 ","Communications"
"004441","63 ","Warehouse, Storage and Workshops"
"004442","63 ","Warehouse, Storage and Workshops"
"004448","09 ","Communications"
"004453","11 ","Law Enforcement and Corrections"
"004458","80 ","Legislative, Judicial, and Diplomatic"
"004458","45 ","Office"
"004458","10 ","Commercial Retail"
"004466","45 ","Office"
"004466","63 ","Warehouse, Storage and Workshops"
"004469","63 ","Warehouse, Storage and Workshops"
"004476","09 ","Communications"
"004481","63 ","Warehouse, Storage and Workshops"
"004493","31 ","Industrial"
"004493","63 ","Warehouse, Storage and Workshops"
"004506","45 ","Office"
"004506","63 ","Warehouse, Storage and Workshops"
"004512","13 ","Assembly and Cultural"
"004514","09 ","Communications"
"004519","31 ","Industrial"
"004519","63 ","Warehouse, Storage and Workshops"
"004560","17 ","Education and Training"
"004560","51 ","Research and Technological Development"
"004560","45 ","Office"
"004560","41 ","Military"
"004560","31 ","Industrial"
"004560","47 ","Parks and Recreation"
"004560","63 ","Warehouse, Storage and Workshops"
"004565","47 ","Parks and Recreation"
"004577","11 ","Law Enforcement and Corrections"
"004578","29 ","Residential"
"004583","29 ","Residential"
"004647","11 ","Law Enforcement and Corrections"
"004650","11 ","Law Enforcement and Corrections"
"004651","29 ","Residential"
"004652","11 ","Law Enforcement and Corrections"
"004654","63 ","Warehouse, Storage and Workshops"
"004655","11 ","Law Enforcement and Corrections"
"004660","63 ","Warehouse, Storage and Workshops"
"004664","45 ","Office"
"004665","45 ","Office"
"004667","51 ","Research and Technological Development"
"004667","45 ","Office"
"004668","29 ","Residential"
"004674","45 ","Office"
"004677","45 ","Office"
"004680","45 ","Office"
"004685","45 ","Office"
"004716","63 ","Warehouse, Storage and Workshops"
"004718","51 ","Research and Technological Development"
"004718","45 ","Office"
"004718","31 ","Industrial"
"004718","63 ","Warehouse, Storage and Workshops"
"004718","63 ","Warehouse, Storage and Workshops"
"004724","11 ","Law Enforcement and Corrections"
"004728","11 ","Law Enforcement and Corrections"
"004732","51 ","Research and Technological Development"
"004732","45 ","Office"
"004732","41 ","Military"
"004732","63 ","Warehouse, Storage and Workshops"
"004735","29 ","Residential"
"004739","63 ","Warehouse, Storage and Workshops"
"004740","11 ","Law Enforcement and Corrections"
"004747","11 ","Law Enforcement and Corrections"
"004755","29 ","Residential"
"004757","11 ","Law Enforcement and Corrections"
"004758","63 ","Warehouse, Storage and Workshops"
"004761","51 ","Research and Technological Development"
"004761","45 ","Office"
"004761","41 ","Military"
"004761","63 ","Warehouse, Storage and Workshops"
"004764","11 ","Law Enforcement and Corrections"
"004768","45 ","Office"
"004782","45 ","Office"
"004782","31 ","Industrial"
"004782","63 ","Warehouse, Storage and Workshops"
"004783","51 ","Research and Technological Development"
"004791","51 ","Research and Technological Development"
"004823","45 ","Office"
"004845","45 ","Office"
"004847","11 ","Law Enforcement and Corrections"
"004848","29 ","Residential"
"004881","26 ","Health, Medical and Dental"
"004881","45 ","Office"
"004881","41 ","Military"
"004881","80 ","Legislative, Judicial, and Diplomatic"
"004881","31 ","Industrial"
"004881","17 ","Education and Training"
"004881","63 ","Warehouse, Storage and Workshops"
"004933","45 ","Office"
"004933","63 ","Warehouse, Storage and Workshops"
"004934","45 ","Office"
"004934","41 ","Military"
"004934","80 ","Legislative, Judicial, and Diplomatic"
"004934","63 ","Warehouse, Storage and Workshops"
"004939","45 ","Office"
"004956","09 ","Communications"
"004981","45 ","Office"
"004994","31 ","Industrial"
"004994","63 ","Warehouse, Storage and Workshops"
"005000","10 ","Commercial Retail"
"005000","10 ","Commercial Retail"
"005000","10 ","Commercial Retail"
"005006","63 ","Warehouse, Storage and Workshops"
"005014","31 ","Industrial"
"005014","63 ","Warehouse, Storage and Workshops"
"005024","09 ","Communications"
"005025","09 ","Communications"
"005030","80 ","Legislative, Judicial, and Diplomatic"
"005030","51 ","Research and Technological Development"
"005030","45 ","Office"
"005030","10 ","Commercial Retail"
"005031","45 ","Office"
"005045","63 ","Warehouse, Storage and Workshops"
"005060","31 ","Industrial"
"005060","63 ","Warehouse, Storage and Workshops"
"005061","31 ","Industrial"
"005061","63 ","Warehouse, Storage and Workshops"
"005077","09 ","Communications"
"005078","09 ","Communications"
"005098","45 ","Office"
"005109","31 ","Industrial"
"005109","63 ","Warehouse, Storage and Workshops"
"005131","47 ","Parks and Recreation"
"005132","45 ","Office"
"005137","09 ","Communications"
"005139","09 ","Communications"
"005146","17 ","Education and Training"
"005146","51 ","Research and Technological Development"
"005146","13 ","Assembly and Cultural"
"005146","45 ","Office"
"005146","47 ","Parks and Recreation"
"005146","10 ","Commercial Retail"
"005146","63 ","Warehouse, Storage and Workshops"
"005152","47 ","Parks and Recreation"
"005183","45 ","Office"
"005183","63 ","Warehouse, Storage and Workshops"
"005197","47 ","Parks and Recreation"
"005203","09 ","Communications"
"005209","09 ","Communications"
"005212","41 ","Military"
"005257","09 ","Communications"
"005263","09 ","Communications"
"005280","09 ","Communications"
"005294","09 ","Communications"
"005316","31 ","Industrial"
"005316","63 ","Warehouse, Storage and Workshops"
"005372","11 ","Law Enforcement and Corrections"
"005376","51 ","Research and Technological Development"
"005376","45 ","Office"
"005383","11 ","Law Enforcement and Corrections"
"005384","45 ","Office"
"005398","51 ","Research and Technological Development"
"005398","13 ","Assembly and Cultural"
"005398","45 ","Office"
"005398","17 ","Education and Training"
"005398","63 ","Warehouse, Storage and Workshops"
"005399","45 ","Office"
"005404","45 ","Office"
"005404","63 ","Warehouse, Storage and Workshops"
"005408","45 ","Office"
"005408","63 ","Warehouse, Storage and Workshops"
"005409","09 ","Communications"
"005420","09 ","Communications"
"005433","45 ","Office"
"005457","31 ","Industrial"
"005457","63 ","Warehouse, Storage and Workshops"
"005464","45 ","Office"
"005467","47 ","Parks and Recreation"
"005469","09 ","Communications"
"005471","47 ","Parks and Recreation"
"005475","47 ","Parks and Recreation"
"005476","29 ","Residential"
"005477","45 ","Office"
"005480","01 ","Agricultural Research and Management"
