Directory of Federal Real Property
Real Property and Materiel Policy Division
Treasury Board of Canada Secretariat
Government of Canada

Security Level: Not Protected
Date: January 3rd, 2023
Sort order:
Character set: ISO 8859 Latin 1
Field Delimiter: Comma
Text Qualifier: Double quote
Field Names: Included in line 16
Data: Begins on line 17
Help: DFRP-ADMIN-RBIF@tbs-sct.gc.ca

"Structure Number (TEXT data)","Property Number (TEXT data)","Structure Name","Custodian Code (TEXT data)","Custodian Name","Interest Type Code (TEXT data)","Interest Type","Street Address","Floor Area","Construction Year","Condition Type Code (TEXT data)","Condition","Fully Occupied Building","SGC Code (TEXT data)","Municipality","Province or Territory Code (TEXT data)","Province or Territory","Federal Electoral District Code (TEXT data)","Federal Electoral District","Country Code (TEXT data)","Country","City Code (TEXT data)","City","Latitude","Longitude","Security Code (TEXT data)","Security Designation","Census Classification","Record Created On","Record Last Modified On"
"002953","02953","The Law Courts","140","Public Services and Procurement Canada","24","Lease or Licence","1815  Upper Water Street, Halifax, Nova Scotia, B3J 1S7","236.00","","","","No","1209034","Halifax","12","Nova Scotia","005","Halifax","CA","Canada","","","44.649831","-63.572261","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2020-11-12 12:00:00 PM"
"002963","02963","Woodstock Border Crossing - Garage","155","Canada Border Services Agency","10","Crown Owned","1403 Route 95, Belleville NB E7M 4Z9","43.00","1996","3","Poor","Yes","1311001","Richmond","13","New Brunswick","010","Tobique--Mactaquac","CA","Canada","","","46.137748","-67.780479","0","Not Protected","Rural","2008-12-09 1:23:39 PM","2022-01-19 5:00:00 AM"
"002964","02964","1888 Brunswick Street","140","Public Services and Procurement Canada","24","Lease or Licence","1888  Brunswick Street, Halifax, Nova Scotia, B3J 3J8","2079.00","","","","No","1209034","Halifax","12","Nova Scotia","005","Halifax","CA","Canada","","","44.649335","-63.578507","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2021-01-26 5:00:00 AM"
"002968","02968","Historic Properties","140","Public Services and Procurement Canada","24","Lease or Licence","1869  Upper Water Street, Halifax, Nova Scotia, B3J 1S9","2545.00","","","","No","1209034","Halifax","12","Nova Scotia","005","Halifax","CA","Canada","","","44.650010","-63.573041","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2020-01-17 5:00:00 AM"
"002983","20622","Carling Campus - Building No. 10 - West","140","Public Services and Procurement Canada","10","Crown Owned","3500 Carling Avenue","12794.00","1996","1","Good","Yes","3506008","Ottawa","35","Ontario","079","Ottawa West--Nepean","CA","Canada","","","45.351822","-75.854720","0","Not Protected","Rural","2011-12-01 11:47:15 AM","2022-02-22 5:00:00 AM"
"003020","20622","Carling Campus - Building No. 10 - East","140","Public Services and Procurement Canada","10","Crown Owned","3500 Carling Avenue","8192.00","1996","1","Good","Yes","3506008","Ottawa","35","Ontario","079","Ottawa West--Nepean","CA","Canada","","","45.352149","-75.853968","0","Not Protected","Rural","2011-12-01 11:47:15 AM","2022-05-18 12:00:00 PM"
"003207","03207","Enos Collins Building","140","Public Services and Procurement Canada","10","Crown Owned","38-40 Havelock Street, Amherst, Nova Scotia, B4H 4C3","3702.00","1975","3","Poor","Yes","1211011","Amherst","12","Nova Scotia","003","Cumberland--Colchester","CA","Canada","","","45.833891","-64.209668","0","Not Protected","Urban","2008-10-15 2:42:04 PM","2022-05-12 12:00:00 PM"
"003289","03289","GC Building - New Glasgow","140","Public Services and Procurement Canada","10","Crown Owned","340  East River Road","1933.00","1961","2","Fair","Yes","1212014","New Glasgow","12","Nova Scotia","002","Central Nova","CA","Canada","","","45.583642","-62.644782","0","Not Protected","Urban","2008-10-23 9:00:32 AM","2022-12-16 5:00:00 AM"
"003436","03436","William Alexander Henry Building","140","Public Services and Procurement Canada","24","Lease or Licence","325  Main Street, Antigonish, Nova Scotia, B2G 2C3","330.00","","","","No","1214002","Antigonish","12","Nova Scotia","002","Central Nova","CA","Canada","","","45.622000","-61.994100","0","Not Protected","Urban","2008-10-15 2:42:04 PM","2021-06-09 12:00:00 PM"
"003480","03480","Port Hawkesbury Town Centre","140","Public Services and Procurement Canada","24","Lease or Licence","811  Reeves Street, Port Hawkesbury, Nova Scotia, B0E 2V0","777.00","","","","No","1215002","Port Hawkesbury","12","Nova Scotia","001","Cape Breton--Canso","CA","Canada","","","45.613438","-61.349397","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2022-12-16 5:00:00 AM"
"003710","03710","GC Building - Sydney","140","Public Services and Procurement Canada","10","Crown Owned","49  Dorchester Street, Sydney, Nova Scotia, B1P 5Z2","6223.00","1962","2","Fair","Yes","1217030","Cape Breton","12","Nova Scotia","010","Sydney--Victoria","CA","Canada","","","46.141346","-60.195322","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2022-10-28 5:00:00 AM"
"003711","03711","GC Building - Sydney Manpower","140","Public Services and Procurement Canada","10","Crown Owned","308  George Street, Sydney, Nova Scotia, B1P 1J8","859.00","1957","3","Poor","Yes","1217030","Cape Breton","12","Nova Scotia","010","Sydney--Victoria","CA","Canada","","","46.140241","-60.193752","0","Not Protected","Rural","2008-10-23 9:00:32 AM","2019-12-18 12:00:00 PM"
"003891","03891","Customs Building","140","Public Services and Procurement Canada","10","Crown Owned","189  Prince William Street, Saint John, New Brunswick, E2L 2B9","6544.00","1959","2","Fair","Yes","1301006","Saint John","13","New Brunswick","009","Saint John--Rothesay","CA","Canada","","","45.269535","-66.061599","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2021-12-03 12:00:00 PM"
"003892","03892","GC Building - Postal Station 'A' and Annex","140","Public Services and Procurement Canada","10","Crown Owned","126 Prince William Street","9931.00","1915","3","Poor","Yes","1301006","Saint John","13","New Brunswick","009","Saint John--Rothesay","CA","Canada","","","45.270746","-66.061084","0","Not Protected","Rural","2008-12-23 1:24:36 PM","2022-08-08 12:00:00 PM"
"003996","03996","Campobello Border Crossing- Main Customs Building","155","Canada Border Services Agency","10","Crown Owned","1 Route 774, Welshpool NB E5E 1A1","421.00","1990","2","Fair","Yes","1302004","Campobello Island","13","New Brunswick","008","New Brunswick Southwest","CA","Canada","","","44.860463","-66.976556","0","Not Protected","Rural","2008-12-09 1:23:39 PM","2022-01-19 5:00:00 AM"
"004007","04007","Welshpool/Campobello Island  Detachment","162","Royal Canadian Mounted Police","10","Crown Owned","920 Hwy 774","135.00","1981","1","Good","Yes","1302004","Campobello Island","13","New Brunswick","008","New Brunswick Southwest","CA","Canada","","","44.882778","-66.943056","0","Not Protected","Rural","2009-03-03 2:28:15 PM","2022-11-28 12:00:00 PM"
"004009","04009","Deer Island Point Border Crossing","155","Canada Border Services Agency","10","Crown Owned","175 Deer Island Point Road, Cummings Cove Deer Island NB E5V 1G5","94.00","1993","2","Fair","Yes","1302006","West Isles","13","New Brunswick","008","New Brunswick Southwest","CA","Canada","","","44.928556","-66.986007","0","Not Protected","Rural","2008-12-09 1:23:39 PM","2022-01-19 5:00:00 AM"
"004073","04073","Milltown Border Crossing- Main Customs Building","155","Canada Border Services Agency","10","Crown Owned","480 Milltown Blvd., St. Stephen NB E3L 1B9","205.00","1967","2","Fair","Yes","1302037","St. Stephen","13","New Brunswick","008","New Brunswick Southwest","CA","Canada","","","45.171386","-67.296494","0","Not Protected","Rural","2008-12-09 1:23:39 PM","2022-01-19 5:00:00 AM"
"004075","04075","GC Building - St. Stephen","140","Public Services and Procurement Canada","10","Crown Owned","93  Milltown Boulevard, St.Stephen, New Brunswick, E3L 1G5","1697.00","1952","1","Good","Yes","1302037","St. Stephen","13","New Brunswick","008","New Brunswick Southwest","CA","Canada","","","45.192715","-67.279997","0","Not Protected","Rural","2009-03-10 2:06:51 PM","2022-12-16 5:00:00 AM"
"004079","04079","St Stephen Detachment","162","Royal Canadian Mounted Police","10","Crown Owned","46 Lisgar St","292.00","1961","2","Fair","Yes","1302037","St. Stephen","13","New Brunswick","008","New Brunswick Southwest","CA","Canada","","","45.200780","-67.276180","0","Not Protected","Rural","2009-03-03 2:28:15 PM","2015-12-15 5:00:02 AM"
"004378","04378","Dominion Public Building","140","Public Services and Procurement Canada","10","Crown Owned","1045 Main Street","19782.00","1936","2","Fair","Yes","1307022","Moncton","13","New Brunswick","007","Moncton--Riverview--Dieppe","CA","Canada","","","46.086802","-64.784904","0","Not Protected","Urban","2008-10-15 2:42:04 PM","2022-12-16 5:00:00 AM"
"004409","04409","Moncton Office","162","Royal Canadian Mounted Police","10","Crown Owned","161 MacBeath Ave","1516.00","1956","1","Good","Yes","1307022","Moncton","13","New Brunswick","007","Moncton--Riverview--Dieppe","CA","Canada","","","46.106770","-64.807460","0","Not Protected","Urban","2009-03-03 2:28:15 PM","2015-12-15 5:00:02 AM"
"004458","04458","Centre Vaudreuil","140","Public Services and Procurement Canada","24","Lease or Licence","2555  Dutrisac Street, Vaudreuil-Dorion, Quebec, J7V 7E6","914.00","","","","No","2471083","Vaudreuil-Dorion","24","Quebec","074","Vaudreuil--Soulanges","CA","Canada","","","45.403617","-74.036449","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2020-01-17 5:00:00 AM"
"004466","04466","Place de la Cité","140","Public Services and Procurement Canada","24","Lease or Licence","550 De la Cité Boulevard","30667.00","","","","Yes","2481017","Gatineau","24","Quebec","027","Gatineau","CA","Canada","","","45.484500","-75.679500","0","Not Protected","Urban","2008-10-15 2:42:04 PM","2022-05-24 12:00:01 PM"
"004560","04560","GC Building - Miramichi","140","Public Services and Procurement Canada","10","Crown Owned","171  Duke Street, Miramichi, New Brunswick, E1N 1H9","1710.00","1957","4","Critical","Yes","1309050","Miramichi","13","New Brunswick","006","Miramichi--Grand Lake","CA","Canada","","","47.030650","-65.467777","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2021-12-03 12:00:00 PM"
"004652","04652","GC Building - CBSA Complex - St Croix Border Crossing (Main Customs Building)","155","Canada Border Services Agency","10","Crown Owned","2785  Route 4, St.Croix, New Brunswick, E6J 2A7","149.00","1928","4","Critical","Yes","1310007","McAdam","13","New Brunswick","008","New Brunswick Southwest","CA","Canada","","","45.568209","-67.427494","0","Not Protected","Isolated","2008-10-15 2:42:04 PM","2022-01-19 5:00:00 AM"
"004654","04654","Fosterville Border Crossing- Garage","155","Canada Border Services Agency","10","Crown Owned","4575 Route 122, Fosterville NB E6H 2B6","60.00","1985","2","Fair","Yes","1310008","North Lake","13","New Brunswick","010","Tobique--Mactaquac","CA","Canada","","","45.816237","-67.780010","0","Not Protected","Isolated","2008-12-09 1:23:39 PM","2022-01-19 5:00:00 AM"
"004664","04664","Constitution Square","510","Defence Construction Canada","24","Lease or Licence","350 Albert St, 19th Floor, Ottawa, ON, K1A 0K3","1587.00","","1","Good","No","3506008","Ottawa","35","Ontario","075","Ottawa Centre","CA","Canada","","","45.418579","-75.703361","0","Not Protected","Rural","2012-04-11 2:23:56 PM","2022-10-15 5:00:00 AM"
"004665","04665","Melcor REIT","510","Defence Construction Canada","24","Lease or Licence","210-13220 St. Albert Trail, Edmonton, AB, T5L 4W1","511.00","","1","Good","No","4811061","Edmonton","48","Alberta","015","Edmonton Griesbach","CA","Canada","","","53.592690","-113.567340","0","Not Protected","Urban","2012-04-11 2:23:56 PM","2022-10-15 5:00:00 AM"
"004674","04674","FCC Moncton","530","Farm Credit Canada","24","Lease or Licence","100-1133 St. George Blvd.","2034.00","","0","Unknown","No","1307022","Moncton","13","New Brunswick","007","Moncton--Riverview--Dieppe","CA","Canada","","","46.081490","-64.831603","0","Not Protected","Urban","2012-04-24 12:55:21 PM","2022-04-27 5:00:00 AM"
"004677","04677","FCC Duncan","530","Farm Credit Canada","24","Lease or Licence","202 - 2700 Beverly Street","202.00","","0","Unknown","No","5919008","North Cowichan","59","British Columbia","010","Cowichan--Malahat--Langford","CA","Canada","","","48.786540","-123.702960","0","Not Protected","Rural","2012-04-24 12:55:21 PM","2019-12-10 5:00:00 AM"
"004680","04680","FCC Kanata","530","Farm Credit Canada","24","Lease or Licence","102-309 Legget Drive","1797.00","","0","Unknown","No","3506008","Ottawa","35","Ontario","041","Kanata--Carleton","CA","Canada","","","45.341408","-75.904693","0","Not Protected","Rural","2012-04-24 12:55:21 PM","2022-10-18 12:00:00 PM"
"004685","04685","FCC Surrey","530","Farm Credit Canada","24","Lease or Licence","Unit 310 - 5460-152nd Street","878.00","","0","Unknown","No","5915004","Surrey","59","British Columbia","030","South Surrey--White Rock","CA","Canada","","","49.102238","-122.799029","0","Not Protected","Urban","2012-04-24 12:55:21 PM","2020-11-17 12:00:00 PM"
"004718","04718","GC Building - Woodstock","140","Public Services and Procurement Canada","10","Crown Owned","680  Main Street, Woodstock, New Brunswick, E7M 5Z9","1845.00","1955","3","Poor","Yes","1311006","Woodstock","13","New Brunswick","010","Tobique--Mactaquac","CA","Canada","","","46.151219","-67.572697","0","Not Protected","Rural","2009-03-12 9:55:21 AM","2021-12-03 12:00:00 PM"
"004724","04724","Bloomfield Border Crossing- Main Customs Building","155","Canada Border Services Agency","10","Crown Owned","185 Line Road, Bloomfield, Carleton County NB E7K 1C5","70.00","1991","3","Poor","Yes","1311018","Wilmot","13","New Brunswick","010","Tobique--Mactaquac","CA","Canada","","","46.317130","-67.781703","0","Not Protected","Rural","2008-12-09 1:23:39 PM","2022-01-19 5:00:00 AM"
"004728","04728","Centreville Border Crossing- Main Customs Building","155","Canada Border Services Agency","10","Crown Owned","1449 Route, 110 Royalton NB E7K 2E3","174.00","1976","4","Critical","Yes","1311031","Wicklow","13","New Brunswick","010","Tobique--Mactaquac","CA","Canada","","","46.451471","-67.784068","0","Not Protected","Rural","2008-12-09 1:23:39 PM","2022-01-19 5:00:00 AM"
"004732","04732","GC Building - Florenceville","140","Public Services and Procurement Canada","10","Crown Owned","273-275  Main Street, Florenceville, New Brunswick, E7L 3G3","282.00","1961","1","Good","Yes","1311027","Florenceville-Bristol","13","New Brunswick","010","Tobique--Mactaquac","CA","Canada","","","46.443178","-67.618349","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2022-02-21 12:00:00 PM"
"004739","04739","River de Chute Border Crossing- Garage","155","Canada Border Services Agency","10","Crown Owned","205 Smugglers Road, River de Chute NB E7H 4X5","81.00","1951","3","Poor","Yes","1311031","Wicklow","13","New Brunswick","010","Tobique--Mactaquac","CA","Canada","","","46.599716","-67.785667","0","Not Protected","Rural","2008-12-09 1:23:39 PM","2022-01-19 5:00:00 AM"
"004740","04740","Andover Border Crossing- Main Customs Building","155","Canada Border Services Agency","10","Crown Owned","6 Route 190, Carlingford NB E7H 5H6","674.00","2007","1","Good","Yes","1312001","Andover","13","New Brunswick","010","Tobique--Mactaquac","CA","Canada","","","46.764918","-67.788518","0","Not Protected","Rural","2008-12-09 1:23:39 PM","2022-01-19 5:00:00 AM"
"004757","04757","Gillespie Border Crossing- Main Customs Building","155","Canada Border Services Agency","10","Crown Owned","600 ROUTE 375, GRAND-SAULT, New Brunswick, E3Z1Z6","195.00","1983","2","Fair","Yes","1312016","Grand Falls","13","New Brunswick","010","Tobique--Mactaquac","CA","Canada","","","46.924623","-67.789180","0","Not Protected","Rural","2008-12-30 6:42:42 AM","2022-01-19 5:00:00 AM"
"004758","04758","Grand Falls Border Crossing- Garage","155","Canada Border Services Agency","10","Crown Owned","1015 Main Street, Grand Falls NB E3Z 2X1","70.00","1975","2","Fair","Yes","1312019","Grand Falls","13","New Brunswick","010","Tobique--Mactaquac","CA","Canada","","","47.059409","-67.789575","0","Not Protected","Rural","2008-12-09 1:23:39 PM","2022-01-19 5:00:00 AM"
"004761","04761","GC Building - Grand Falls","140","Public Services and Procurement Canada","10","Crown Owned","373-377  Broadway Boulevard, Grand Falls, New Brunswick, E3Z 2K3","1138.00","1959","1","Good","Yes","1312019","Grand Falls","13","New Brunswick","010","Tobique--Mactaquac","CA","Canada","","","47.045969","-67.742749","0","Not Protected","Rural","2008-10-23 9:00:32 AM","2022-11-24 5:00:00 AM"
"004768","04768","GC Building - CBSA Complex - St Leonard Border Crossing (Main Customs Building)","155","Canada Border Services Agency","10","Crown Owned","10  Bridge Street, St. Leonard, New Brunswick, E7E 1Y1","718.00","1956","2","Fair","Yes","1313006","Saint-Léonard","13","New Brunswick","005","Madawaska--Restigouche","CA","Canada","","","47.160510","-67.929340","0","Not Protected","Rural","2008-10-23 9:00:32 AM","2022-01-19 5:00:00 AM"
"004782","04782","GC Building - Edmundston","140","Public Services and Procurement Canada","10","Crown Owned","22  Emmerson Street, Edmunston, New Brunswick, E3V 1R7","1535.00","1964","3","Poor","Yes","1313027","Edmundston","13","New Brunswick","005","Madawaska--Restigouche","CA","Canada","","","47.364053","-68.326260","0","Not Protected","Rural","2009-03-10 2:06:51 PM","2022-02-21 12:00:00 PM"
"004783","04783","GC Building - CBSA Complex - Edmunston Border Crossing","155","Canada Border Services Agency","10","Crown Owned","66  St. Francois Street, Edmunston, New Brunswick, E3V 1E6","1316.00","1992","2","Fair","Yes","1313027","Edmundston","13","New Brunswick","005","Madawaska--Restigouche","CA","Canada","","","47.361793","-68.328709","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2022-01-19 5:00:00 AM"
"004791","04791","GC Building - CBSA Complex - Clair Border Crossing","155","Canada Border Services Agency","10","Crown Owned","790  Main Street, Clair, New Brunswick, E7A 2H6","508.00","1954","4","Critical","Yes","1313031","Haut-Madawaska","13","New Brunswick","005","Madawaska--Restigouche","CA","Canada","","","47.250468","-68.605589","0","Not Protected","Rural","2008-10-23 9:00:32 AM","2022-01-19 5:00:00 AM"
"004823","04823","Office","162","Royal Canadian Mounted Police","24","Lease or Licence","45 Market Road","102.00","","1","Good","Yes","1214002","Antigonish","12","Nova Scotia","002","Central Nova","CA","Canada","","","45.616660","-62.000150","0","Not Protected","Urban","2009-03-03 2:28:15 PM","2018-12-05 12:00:00 PM"
"004845","04845","Former GC Building - Saint-Quentin","140","Public Services and Procurement Canada","24","Lease or Licence","193  Canada Street, Saint-Quentin, New Brunswick, E8A 1J8","94.00","","","","Yes","1314022","Saint-Quentin","13","New Brunswick","005","Madawaska--Restigouche","CA","Canada","","","47.510900","-67.392400","0","Not Protected","Urban","2008-10-15 2:42:04 PM","2020-12-17 5:00:01 AM"
"004881","04881","Nicholas Denys Building","140","Public Services and Procurement Canada","10","Crown Owned","120  Harbourview Boulevard, Bathurst, New Brunswick, E2A 5B9","9695.00","1979","1","Good","Yes","1315011","Bathurst","13","New Brunswick","001","Acadie--Bathurst","CA","Canada","","","47.621370","-65.656336","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2021-12-03 12:00:00 PM"
