Directory of Federal Real Property
Real Property and Materiel Policy Division
Treasury Board of Canada Secretariat
Government of Canada

Security Level: Not Protected
Date: January 3rd, 2023
Sort order:
Character set: ISO 8859 Latin 1
Field Delimiter: Comma
Text Qualifier: Double quote
Field Names: Included in line 16
Data: Begins on line 17
Help: DFRP-ADMIN-RBIF@tbs-sct.gc.ca

"Structure Number (TEXT data)","Tenant Code (TEXT data)","Tenant Name","Floor Area"
"004378","990","Third Party",114.00
"004378","995","Vacant",5877.00
"004378","ATN","Canadian Transportation Agency",34.00
"004378","CAP","Parks Canada Agency",177.00
"004378","GSS","Shared Services Canada",3233.00
"004378","HER","Canadian Heritage",518.00
"004378","ICA","Canadian Food Inspection Agency",1837.00
"004378","NFB","National Film Board",184.00
"004378","PEN","Correctional Service of Canada",3589.00
"004458","CSD","Employment and Social Development Canada",914.00
"004466","BAL","Library and Archives of Canada",27255.00
"004466","GSS","Shared Services Canada",3412.00
"004560","GSS","Shared Services Canada",27.00
"004560","RCM","Royal Canadian Mounted Police",1673.00
"004560","995","Vacant",10.00
"004718","995","Vacant",742.00
"004718","CSD","Employment and Social Development Canada",322.00
"004718","CPO","Canada Post",592.00
"004718","ICA","Canadian Food Inspection Agency",189.00
"004732","ICA","Canadian Food Inspection Agency",249.00
"004732","995","Vacant",33.00
"004761","995","Vacant",568.00
"004761","990","Third Party",54.00
"004761","CPO","Canada Post",516.00
"004768","995","Vacant",201.00
"004768","RCM","Royal Canadian Mounted Police",114.00
"004782","995","Vacant",527.00
"004782","CPO","Canada Post",178.00
"004782","CSD","Employment and Social Development Canada",830.00
"004783","ICA","Canadian Food Inspection Agency",41.00
"004791","RCM","Royal Canadian Mounted Police",69.00
"004791","995","Vacant",130.00
"004845","CSD","Employment and Social Development Canada",94.00
"004881","CSD","Employment and Social Development Canada",9576.00
"004881","995","Vacant",119.00
"004934","RCM","Royal Canadian Mounted Police",544.00
"005000","995","Vacant",8976.00
"005000","990","Third Party",2062.00
"005000","CSD","Employment and Social Development Canada",32.00
"005030","DFO","Fisheries and Oceans Canada",726.00
"005030","995","Vacant",269.00
"005030","BSF","Canada Border Services Agency",80.00
"005030","CAP","Parks Canada Agency",34.00
"005146","995","Vacant",58.00
"005146","DFO","Fisheries and Oceans Canada",874.00
"005146","FRD","Economic Development Agency of Canada for the Regions of Quebec",428.00
"005183","CAP","Parks Canada Agency",84.00
"005398","GSS","Shared Services Canada",329.00
"005399","CSD","Employment and Social Development Canada",367.00
"005404","DFO","Fisheries and Oceans Canada",762.00
"005408","CSD","Employment and Social Development Canada",232.00
"005433","ICA","Canadian Food Inspection Agency",1236.00
"005464","SHC","Health Canada",4560.00
"005464","995","Vacant",194.00
"005464","990","Third Party",332.00
"005502","995","Vacant",702.00
"005618","CSD","Employment and Social Development Canada",275.00
"005669","995","Vacant",5708.00
"005757","995","Vacant",1689.00
"005757","CAP","Parks Canada Agency",2573.00
"005757","CPO","Canada Post",256.00
"005757","GSS","Shared Services Canada",33.00
"005757","HER","Canadian Heritage",306.00
"005769","CSD","Employment and Social Development Canada",7926.00
"005769","995","Vacant",180.00
"006153","CSD","Employment and Social Development Canada",60.00
"006154","CAJ","Courts Administration Service",196.00
"006165","CSD","Employment and Social Development Canada",400.00
"006170","CSD","Employment and Social Development Canada",470.00
"006190","CSD","Employment and Social Development Canada",258.00
"006222","CSD","Employment and Social Development Canada",2139.00
"006222","995","Vacant",1493.00
"006222","NAR","Canada Revenue Agency",18109.00
"006265","JUS","Department of Justice",2160.00
"006290","CSD","Employment and Social Development Canada",1730.00
"006293","995","Vacant",19.00
"006293","BSF","Canada Border Services Agency",1202.00
"006297","RCM","Royal Canadian Mounted Police",2801.00
"006315","ICA","Canadian Food Inspection Agency",262.00
"006320","ICA","Canadian Food Inspection Agency",250.00
"006320","NAR","Canada Revenue Agency",3044.00
"006320","GSS","Shared Services Canada",34.00
"006320","RSN","Natural Resources Canada",1756.00
"006320","BSF","Canada Border Services Agency",922.00
"006320","995","Vacant",2005.00
"006320","CSD","Employment and Social Development Canada",857.00
"006320","DND","National Defence",528.00
"006320","CPO","Canada Post",306.00
"006324","CSD","Employment and Social Development Canada",99.00
"006326","995","Vacant",710.00
"006327","995","Vacant",499.00
"006327","PEN","Correctional Service of Canada",470.00
"006334","ICA","Canadian Food Inspection Agency",715.00
"006375","NAR","Canada Revenue Agency",20610.00
"006375","GSS","Shared Services Canada",109.00
"006375","SHC","Health Canada",277.00
"006375","995","Vacant",15.00
"006375","CAP","Parks Canada Agency",39.00
"006375","CSN","Canadian Nuclear Safety Commission",347.00
"006375","DVA","Veterans Affairs Canada",867.00
"006380","DUS","Innovation, Science and Economic Development Canada",1008.00
"006380","995","Vacant",12.00
"006391","DFO","Fisheries and Oceans Canada",83.00
"006405","CGC","Canadian Grain Commission",236.00
"006432","CSD","Employment and Social Development Canada",846.00
"006454","JUS","Department of Justice",2969.00
"006459","995","Vacant",726.00
"006472","BSF","Canada Border Services Agency",4242.00
"006479","BSF","Canada Border Services Agency",2749.00
"006479","995","Vacant",2898.00
"006479","990","Third Party",160.00
"006479","DUS","Innovation, Science and Economic Development Canada",720.00
"006479","DVA","Veterans Affairs Canada",630.00
"006479","DND","National Defence",1431.00
"006479","IMC","Immigration, Refugees and Citizenship Canada",1642.00
"006479","GSS","Shared Services Canada",84.00
"006479","SHC","Health Canada",519.00
"006479","PEN","Correctional Service of Canada",671.00
"006479","NAR","Canada Revenue Agency",15442.00
"006482","GSS","Shared Services Canada",56.00
"006482","BSF","Canada Border Services Agency",7216.00
"006484","AUD","Office of the Auditor General of Canada",14586.00
"006484","995","Vacant",3639.00
"006484","990","Third Party",2290.00
"006484","DND","National Defence",1754.00
"006484","DUS","Innovation, Science and Economic Development Canada",55536.00
"006484","CLR","Canada Industrial Relations Board",8745.00
"006484","GSS","Shared Services Canada",2871.00
"006484","HOC","House of Commons (Employees)",3661.00
"006484","IMC","Immigration, Refugees and Citizenship Canada",1333.00
"006484","MOT","Transport Canada",1294.00
"006495","IMC","Immigration, Refugees and Citizenship Canada",3230.00
"006495","EXT","Global Affairs Canada",776.00
"006495","DOE","Environment and Climate Change Canada",1390.00
"006495","995","Vacant",1909.00
"006500","GSS","Shared Services Canada",26.00
"006500","NAR","Canada Revenue Agency",11469.00
"006503","GSS","Shared Services Canada",3562.00
"006503","IMC","Immigration, Refugees and Citizenship Canada",16874.00
"006505","DFO","Fisheries and Oceans Canada",764.00
"006511","AGR","Agriculture and Agri-Food Canada",357.00
"006511","ICA","Canadian Food Inspection Agency",3638.00
"006511","GSS","Shared Services Canada",39.00
"006521","CSD","Employment and Social Development Canada",305.00
"006523","RCM","Royal Canadian Mounted Police",7616.00
"006524","PEN","Correctional Service of Canada",1150.00
"006524","IMC","Immigration, Refugees and Citizenship Canada",1201.00
"006524","995","Vacant",14.00
"006524","BSF","Canada Border Services Agency",1150.00
"006528","PCO","Privy Council Office",436.00
"006531","DFO","Fisheries and Oceans Canada",386.00
"006536","PSP","Public Safety Canada",3982.00
"006548","LIB","Library of Parliament",11985.00
"006548","JUS","Department of Justice",4094.00
"006548","HOC","House of Commons (Employees)",8910.00
"006590","DIS","Indigenous Services Canada",370.00
"006596","CSD","Employment and Social Development Canada",416.00
"006601","IMC","Immigration, Refugees and Citizenship Canada",597.00
"006644","CSD","Employment and Social Development Canada",494.00
"006662","BSF","Canada Border Services Agency",328.00
"006816","995","Vacant",114.00
"006816","GSS","Shared Services Canada",25.00
"006816","NAR","Canada Revenue Agency",3825.00
"006840","GSS","Shared Services Canada",38.00
"006840","IMC","Immigration, Refugees and Citizenship Canada",5712.00
"006866","PSP","Public Safety Canada",390.00
"006891","CSD","Employment and Social Development Canada",351.00
"006898","CSD","Employment and Social Development Canada",322.00
"006915","CSD","Employment and Social Development Canada",2366.00
"006915","DND","National Defence",14204.00
"006915","995","Vacant",18.00
"006915","GSS","Shared Services Canada",2141.00
"006919","CSD","Employment and Social Development Canada",288.00
"006932","PEN","Correctional Service of Canada",670.00
"006984","PEN","Correctional Service of Canada",238.00
"006984","NAR","Canada Revenue Agency",107.00
"006984","PSP","Public Safety Canada",48.00
"006984","RCM","Royal Canadian Mounted Police",36.00
"006984","RSN","Natural Resources Canada",336.00
"006984","HER","Canadian Heritage",40.00
"006984","IAN","Crown-Indigenous Relations and Northern Affairs Canada",241.00
"006984","DUS","Innovation, Science and Economic Development Canada",26.00
"006984","ENR","National Energy Board",17.00
"006984","IMC","Immigration, Refugees and Citizenship Canada",25.00
"006984","JUS","Department of Justice",1280.00
"006984","CSD","Employment and Social Development Canada",695.00
"006984","DND","National Defence",1269.00
"006984","995","Vacant",275.00
"006984","BSF","Canada Border Services Agency",44.00
"006984","CAP","Parks Canada Agency",275.00
"006986","CSD","Employment and Social Development Canada",336.00
"007009","ICA","Canadian Food Inspection Agency",499.00
"007013","995","Vacant",5170.00
"007047","995","Vacant",128.00
"007047","DND","National Defence",2680.00
"007075","DND","National Defence",36164.00
"007075","CSD","Employment and Social Development Canada",123.00
"007075","995","Vacant",219.00
"007075","GSS","Shared Services Canada",340.00
"007092","GSS","Shared Services Canada",227.00
"007092","MOT","Transport Canada",851.00
"007092","PSC","Public Service Commission",1682.00
"007092","NAR","Canada Revenue Agency",18487.00
"007092","PEN","Correctional Service of Canada",438.00
"007092","995","Vacant",2274.00
"007092","CSW","Department for Women and Gender Equality",194.00
"007092","DOE","Environment and Climate Change Canada",2923.00
"007092","DVA","Veterans Affairs Canada",3332.00
"007099","995","Vacant",4811.00
"007099","BSF","Canada Border Services Agency",5585.00
"007099","PSP","Public Safety Canada",16240.00
"007099","IMC","Immigration, Refugees and Citizenship Canada",10258.00
"007099","GSS","Shared Services Canada",5822.00
"007100","HRC","Canadian Human Rights Commission",137.00
"007100","HER","Canadian Heritage",989.00
"007100","NAR","Canada Revenue Agency",272.00
"007100","PCO","Privy Council Office",719.00
"007100","BSF","Canada Border Services Agency",12745.00
"007100","CAP","Parks Canada Agency",1118.00
"007100","995","Vacant",2668.00
"007100","DOE","Environment and Climate Change Canada",9951.00
"007100","DFO","Fisheries and Oceans Canada",1687.00
"007100","COL","Office of the Commissioner of Official Languages",143.00
"007102","PEN","Correctional Service of Canada",436.00
"007125","CSD","Employment and Social Development Canada",1316.00
"007135","BSF","Canada Border Services Agency",2214.00
"007135","NAR","Canada Revenue Agency",149.00
"007163","TBD","Treasury Board of Canada Secretariat",25824.00
"007163","FIN","Finance Canada",24225.00
"007163","995","Vacant",1596.00
"007163","990","Third Party",1140.00
"007199","995","Vacant",721.00
"007199","AHS","Public Health Agency of Canada",67.00
"007199","CSD","Employment and Social Development Canada",2326.00
"007199","DVA","Veterans Affairs Canada",7833.00
"007199","DND","National Defence",446.00
"007199","DUS","Innovation, Science and Economic Development Canada",26.00
"007199","HER","Canadian Heritage",209.00
"007199","GSS","Shared Services Canada",90.00
"007199","MOT","Transport Canada",210.00
"007199","PEN","Correctional Service of Canada",12.00
"007199","SHC","Health Canada",69.00
"007200","DFO","Fisheries and Oceans Canada",615.00
"007210","DFO","Fisheries and Oceans Canada",744.00
"007212","ICA","Canadian Food Inspection Agency",278.00
"007224","GSS","Shared Services Canada",39.00
"007224","IAN","Crown-Indigenous Relations and Northern Affairs Canada",12465.00
"007224","RSN","Natural Resources Canada",538.00
"007224","NSE","Natural Sciences and Engineering Research Council",98.00
"007224","995","Vacant",812.00
"007224","990","Third Party",824.00
"007251","RCM","Royal Canadian Mounted Police",448.00
"007251","IAN","Crown-Indigenous Relations and Northern Affairs Canada",1732.00
"007253","MOT","Transport Canada",437.00
"007253","JUS","Department of Justice",14965.00
"007253","990","Third Party",554.00
"007253","995","Vacant",493.00
"007254","ACO","Atlantic Canada Opportunities Agency",154.00
"007263","RCM","Royal Canadian Mounted Police",751.00
"007352","PCO","Privy Council Office",1847.00
"007352","995","Vacant",1875.00
"007377","CSD","Employment and Social Development Canada",616.00
"007377","JUS","Department of Justice",151.00
"007379","ICA","Canadian Food Inspection Agency",2029.00
"007383","CSD","Employment and Social Development Canada",840.00
"007387","CSD","Employment and Social Development Canada",212.00
"007407","DIS","Indigenous Services Canada",84.00
"007410","DND","National Defence",932.00
"007418","ACO","Atlantic Canada Opportunities Agency",56.00
"007420","GSS","Shared Services Canada",10.00
"007420","NAR","Canada Revenue Agency",1458.00
"007424","IAN","Crown-Indigenous Relations and Northern Affairs Canada",107.00
"007428","GSS","Shared Services Canada",157.00
"007428","995","Vacant",62.00
"007428","DND","National Defence",15940.00
"007430","995","Vacant",101.00
"007430","JUS","Department of Justice",696.00
"007430","TBD","Treasury Board of Canada Secretariat",16592.00
"007436","RCM","Royal Canadian Mounted Police",11538.00
"007437","IAN","Crown-Indigenous Relations and Northern Affairs Canada",1342.00
"007437","CSD","Employment and Social Development Canada",10853.00
"007442","CAP","Parks Canada Agency",4412.00
"007447","FRD","Economic Development Agency of Canada for the Regions of Quebec",343.00
"007452","NAR","Canada Revenue Agency",9431.00
"007452","995","Vacant",34.00
"007541","995","Vacant",368.00
"007589","PEN","Correctional Service of Canada",392.00
"007589","JUS","Department of Justice",54.00
"007592","CSD","Employment and Social Development Canada",4429.00
"007608","995","Vacant",5411.00
"007608","990","Third Party",35.00
"007608","IAN","Crown-Indigenous Relations and Northern Affairs Canada",39848.00
"007608","GSS","Shared Services Canada",2285.00
"007608","HER","Canadian Heritage",737.00
"007614","DUS","Innovation, Science and Economic Development Canada",36945.00
"007614","990","Third Party",386.00
"007614","995","Vacant",1439.00
"007614","CSD","Employment and Social Development Canada",43.00
"007615","DOE","Environment and Climate Change Canada",16251.00
"007615","995","Vacant",138.00
"007615","990","Third Party",160.00
"007615","EXT","Global Affairs Canada",2576.00
"007620","GSS","Shared Services Canada",1029.00
"007620","995","Vacant",419.00
"007620","DOE","Environment and Climate Change Canada",37139.00
"007632","995","Vacant",4213.00
"007632","EXT","Global Affairs Canada",28928.00
"007632","TSB","Transportation Safety Board of Canada",3368.00
"007638","GSS","Shared Services Canada",9901.00
"007638","995","Vacant",86840.00
"007638","990","Third Party",305.00
"007638","CSD","Employment and Social Development Canada",79.00
"007688","CSD","Employment and Social Development Canada",263.00
"007740","CSD","Employment and Social Development Canada",801.00
"007740","CPO","Canada Post",1213.00
"007740","995","Vacant",144.00
"007740","ICA","Canadian Food Inspection Agency",110.00
"007740","PEN","Correctional Service of Canada",345.00
"007740","NAR","Canada Revenue Agency",1065.00
"007960","CSD","Employment and Social Development Canada",319.00
"007974","BSF","Canada Border Services Agency",403.00
"007996","995","Vacant",756.00
"007996","CSD","Employment and Social Development Canada",1433.00
"007996","NAR","Canada Revenue Agency",14831.00
"008122","ICA","Canadian Food Inspection Agency",256.00
"008122","MOT","Transport Canada",310.00
"008122","FRD","Economic Development Agency of Canada for the Regions of Quebec",322.00
"008122","CSD","Employment and Social Development Canada",1694.00
"008122","CPO","Canada Post",999.00
"008122","DFO","Fisheries and Oceans Canada",1018.00
"008122","995","Vacant",1719.00
"008122","BSF","Canada Border Services Agency",164.00
"008149","995","Vacant",26.00
"008149","DVA","Veterans Affairs Canada",896.00
"008149","NAR","Canada Revenue Agency",1738.00
"008164","CFC","Financial Transactions and Reports Analysis Centre of Canada",370.00
"008195","995","Vacant",161.00
"008195","ATN","Canadian Transportation Agency",21.00
"008195","RSN","Natural Resources Canada",554.00
"008195","ENR","National Energy Board",174.00
"008195","GSS","Shared Services Canada",1061.00
"008195","MOT","Transport Canada",5740.00
"008195","JUS","Department of Justice",2152.00
"008195","IMC","Immigration, Refugees and Citizenship Canada",2766.00
"008247","CSD","Employment and Social Development Canada",473.00
"008365","RCM","Royal Canadian Mounted Police",564.00
"008422","GSS","Shared Services Canada",1447.00
"008422","CPM","Military Police Complaints Commission",956.00
"008437","DND","National Defence",534.00
"008443","GSS","Shared Services Canada",22.00
"008443","DUS","Innovation, Science and Economic Development Canada",1526.00
"008445","CSD","Employment and Social Development Canada",1089.00
"008452","995","Vacant",21.00
"008452","BSF","Canada Border Services Agency",226.00
"008452","DVA","Veterans Affairs Canada",844.00
"008452","IMC","Immigration, Refugees and Citizenship Canada",763.00
"008502","CSD","Employment and Social Development Canada",578.00
"008647","995","Vacant",18881.00
"008647","990","Third Party",114.00
"008647","IAN","Crown-Indigenous Relations and Northern Affairs Canada",3135.00
"008647","SHC","Health Canada",9104.00
"008649","DOE","Environment and Climate Change Canada",1782.00
"008651","995","Vacant",1163.00
"008651","NAR","Canada Revenue Agency",26043.00
"008659","IMC","Immigration, Refugees and Citizenship Canada",3713.00
"008659","995","Vacant",1276.00
"008714","DFO","Fisheries and Oceans Canada",586.00
"008802","995","Vacant",16943.00
"008802","990","Third Party",82.00
"008802","PSP","Public Safety Canada",2435.00
"008803","RSN","Natural Resources Canada",33188.00
"008803","GSS","Shared Services Canada",217.00
"008803","990","Third Party",62.00
"008803","995","Vacant",174.00
"008831","995","Vacant",333.00
"008831","990","Third Party",140.00
"008831","HOC","House of Commons (Employees)",1762.00
"008831","SEN","Senate (Employees)",836.00
"008833","PCO","Privy Council Office",7065.00
"008836","GSS","Shared Services Canada",157.00
"008836","JUS","Department of Justice",26086.00
"008836","995","Vacant",122.00
"008837","995","Vacant",23105.00
"008865","CSD","Employment and Social Development Canada",945.00
"008865","IMC","Immigration, Refugees and Citizenship Canada",5137.00
"008865","PEN","Correctional Service of Canada",3355.00
"008878","PCO","Privy Council Office",1984.00
"008878","DVA","Veterans Affairs Canada",3453.00
"008878","ESN","Office of the Senate Ethics Officer",2051.00
"008878","EXT","Global Affairs Canada",992.00
"008879","GSS","Shared Services Canada",288.00
"008879","MOT","Transport Canada",51241.00
"008879","995","Vacant",99.00
"008889","CRI","Canadian Institutes of Health Research",9245.00
"008889","DOE","Environment and Climate Change Canada",5154.00
"008889","DUS","Innovation, Science and Economic Development Canada",3058.00
"008889","JUS","Department of Justice",7263.00
"008889","EXT","Global Affairs Canada",1370.00
"008890","GSS","Shared Services Canada",1279.00
"008890","IMC","Immigration, Refugees and Citizenship Canada",27058.00
"008895","SEN","Senate (Employees)",7334.00
"008895","995","Vacant",36.00
"008896","CGC","Canadian Grain Commission",295.00
"008910","BSF","Canada Border Services Agency",2037.00
"008910","995","Vacant",24342.00
"008910","DFO","Fisheries and Oceans Canada",6129.00
"008910","MOT","Transport Canada",4101.00
"008920","DVA","Veterans Affairs Canada",1836.00
"008936","CSD","Employment and Social Development Canada",402.00
"008945","DND","National Defence",1996.00
"008945","BSF","Canada Border Services Agency",6498.00
"008945","IMC","Immigration, Refugees and Citizenship Canada",4988.00
"008945","PEN","Correctional Service of Canada",2488.00
"008962","NAR","Canada Revenue Agency",16354.00
"008962","MOT","Transport Canada",3232.00
"008962","GSS","Shared Services Canada",218.00
"008962","995","Vacant",3042.00
"008996","PPS","Parliamentary Protective Service",2388.00
"008996","RCM","Royal Canadian Mounted Police",890.00
"009004","NAR","Canada Revenue Agency",12713.00
"009004","GSS","Shared Services Canada",515.00
"009004","995","Vacant",363.00
"009020","995","Vacant",11960.00
"009020","990","Third Party",1119.00
"009020","GSS","Shared Services Canada",1912.00
"009020","EXT","Global Affairs Canada",48389.00
"009026","GSS","Shared Services Canada",305.00
"009026","995","Vacant",647.00
"009026","DND","National Defence",73070.00
"009031","995","Vacant",399.00
"009031","CES","Canada School of Public Service",9179.00
"009031","GGS","Office of the Governor General's Secretary",997.00
"009239","PEN","Correctional Service of Canada",93.00
"009266","PSP","Public Safety Canada",489.00
"009266","995","Vacant",395.00
"009273","SHC","Health Canada",7931.00
"009273","GSS","Shared Services Canada",257.00
"009274","NAR","Canada Revenue Agency",3300.00
"009294","NAR","Canada Revenue Agency",2413.00
"009294","GSS","Shared Services Canada",1111.00
"009331","PEN","Correctional Service of Canada",442.00
"009331","CSD","Employment and Social Development Canada",843.00
"009347","CSD","Employment and Social Development Canada",1304.00
"009347","995","Vacant",1609.00
"009348","CSD","Employment and Social Development Canada",536.00
"009366","995","Vacant",997.00
"009366","GSS","Shared Services Canada",6273.00
"009366","NAR","Canada Revenue Agency",2909.00
"009369","995","Vacant",156.00
"009400","DVA","Veterans Affairs Canada",992.00
"009415","JUS","Department of Justice",470.00
"009416","BSF","Canada Border Services Agency",351.00
"009420","NAR","Canada Revenue Agency",3227.00
"009420","GSS","Shared Services Canada",18.00
"009430","NAR","Canada Revenue Agency",4676.00
"009438","995","Vacant",36.00
"009438","DFO","Fisheries and Oceans Canada",384.00
"009448","MOT","Transport Canada",1826.00
"009448","EXT","Global Affairs Canada",3654.00
"009451","MOT","Transport Canada",183.00
"009451","SHC","Health Canada",158.00
"009451","995","Vacant",184.00
"009468","DND","National Defence",11819.00
"009468","GSS","Shared Services Canada",126.00
"009530","GSS","Shared Services Canada",11.00
"009530","NAR","Canada Revenue Agency",4011.00
"009530","PEN","Correctional Service of Canada",144.00
"009530","CSD","Employment and Social Development Canada",407.00
"009530","995","Vacant",1733.00
"009531","995","Vacant",967.00
"009531","CSD","Employment and Social Development Canada",3999.00
"009531","GSS","Shared Services Canada",620.00
"009551","IMC","Immigration, Refugees and Citizenship Canada",931.00
"009558","CSD","Employment and Social Development Canada",111.00
"009608","995","Vacant",649.00
"009622","DFO","Fisheries and Oceans Canada",934.00
"009637","995","Vacant",90.00
"009637","GSS","Shared Services Canada",1358.00
"009637","IAN","Crown-Indigenous Relations and Northern Affairs Canada",2654.00
"009640","HOC","House of Commons (Employees)",726.00
"009640","JUS","Department of Justice",3049.00
"009641","MOT","Transport Canada",3849.00
"009662","995","Vacant",178.00
"009662","CSD","Employment and Social Development Canada",438.00
"009663","PEN","Correctional Service of Canada",855.00
"009664","DOE","Environment and Climate Change Canada",1626.00
"009669","DVA","Veterans Affairs Canada",756.00
"009673","CSD","Employment and Social Development Canada",415.00
"009678","CSD","Employment and Social Development Canada",7058.00
"009678","DOE","Environment and Climate Change Canada",1721.00
"009678","DND","National Defence",640.00
"009678","DIS","Indigenous Services Canada",3032.00
"009678","995","Vacant",2581.00
"009678","AHS","Public Health Agency of Canada",450.00
"009678","DVA","Veterans Affairs Canada",628.00
"009678","SHC","Health Canada",322.00
"009678","RSN","Natural Resources Canada",377.00
"009678","PSP","Public Safety Canada",713.00
"009907","DND","National Defence",12067.00
"009923","CSD","Employment and Social Development Canada",253.00
"009931","CSD","Employment and Social Development Canada",274.00
"009972","CLR","Canada Industrial Relations Board",1045.00
"009972","BSF","Canada Border Services Agency",2584.00
"009972","CES","Canada School of Public Service",1034.00
"009972","995","Vacant",2357.00
"009972","PSC","Public Service Commission",1726.00
"009972","HRC","Canadian Human Rights Commission",153.00
"009972","GSS","Shared Services Canada",56.00
"009972","NAR","Canada Revenue Agency",24674.00
"009976","995","Vacant",32352.00
"010009","DND","National Defence",280.00
"010015","ICA","Canadian Food Inspection Agency",2361.00
"010016","AGR","Agriculture and Agri-Food Canada",909.00
"010024","CSD","Employment and Social Development Canada",92.00
"010049","CSD","Employment and Social Development Canada",4229.00
"010081","CAP","Parks Canada Agency",390.00
"010092","995","Vacant",1602.00
"010092","NAR","Canada Revenue Agency",5135.00
"010093","MOT","Transport Canada",8048.00
"010093","GSS","Shared Services Canada",1537.00
"010093","RCM","Royal Canadian Mounted Police",265.00
"010093","995","Vacant",9780.00
"010093","990","Third Party",15.00
"010093","ATN","Canadian Transportation Agency",41.00
"010093","CSD","Employment and Social Development Canada",21562.00
"010093","DND","National Defence",1676.00
"010120","ICA","Canadian Food Inspection Agency",92.00
"010136","CSD","Employment and Social Development Canada",464.00
"010142","PEN","Correctional Service of Canada",431.00
"010146","DFO","Fisheries and Oceans Canada",2484.00
"010147","RCM","Royal Canadian Mounted Police",889.00
"010157","PEN","Correctional Service of Canada",378.00
"010160","995","Vacant",18.00
"010414","995","Vacant",2594.00
"010414","PEN","Correctional Service of Canada",326.00
"010414","MOT","Transport Canada",244.00
"010414","NAR","Canada Revenue Agency",5144.00
"010414","GSS","Shared Services Canada",253.00
"010497","GSS","Shared Services Canada",14.00
"010497","DUS","Innovation, Science and Economic Development Canada",403.00
"010518","995","Vacant",1504.00
