Directory of Federal Real Property
Real Property and Materiel Policy Division
Treasury Board of Canada Secretariat
Government of Canada

Security Level: Not Protected
Date: January 1st, 2023
Sort order:
Character set: ISO 8859 Latin 1
Field Delimiter: Comma
Text Qualifier: Double quote
Field Names: Included in line 16
Data: Begins on line 17
Help: DFRP-ADMIN-RBIF@tbs-sct.gc.ca

"Property Number (TEXT data)","Parcel Number (TEXT data)","Property Name","Custodian Code (TEXT data)","Custodian Name","Primary Use Group Code (TEXT data)","Primary Use Group","Interest Type Code (TEXT data)","Interest Type","Restriction on Interest Code (TEXT data)","Restriction on Interest","Street Address","Place Name","SGC Code (TEXT data)","Municipality","Province or Territory Code (TEXT data)","Province or Territory","Federal Electoral District Code (TEXT data)","Federal Electoral District","Country Code (TEXT data)","Country","City Code (TEXT data)","City","Land Area","Building Count","Floor Area","Exterior Parking","Interior Parking","Interior Parking Included in Floor Area","Latitude","Longitude","Positional Accuracy","Security Code (TEXT data)","Security Designation","Census Classification","Record Created On","Record Last Modified On"
"00774","00","Fredericton Centre for Nuclear Energy Research","320","Atomic Energy of Canada Limited","45 ","Office","24","Lease or Licence","00","No Restriction","Enterprise UNB, 2 Garland Court, University of NB","AECL Fredericton","1310032","Fredericton","13","New Brunswick","003","Fredericton","CA","Canada","","","0.0000",0,"0.00",0,0,"Yes","45.945724","-66.638334",100,"0","Not Protected","Urban","1997-05-08 12:00:00 AM","2021-11-12 12:00:00 PM"
"00844","00","Market Square Business Centre","540","Business Development Bank of Canada","45 ","Office","24","Lease or Licence","00","No Restriction","100-24 Queen St E","","3521010","Brampton","35","Ontario","008","Brampton Centre","CA","Canada","","","0.0001",1,"467.00",0,0,"Yes","43.686460","-79.758940",20,"0","Not Protected","Urban","1997-08-12 12:00:00 AM","2018-01-11 5:00:00 AM"
"00907","00","Former Bank of  Nova Scotia Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","49-53 Conception Bay Highway","Clarkes Beach","1001409","Bay Roberts","10","Newfoundland and Labrador","001","Avalon","CA","Canada","","","0.0100",1,"356.00",10,0,"No","47.593670","-53.281680",100,"0","Not Protected","Rural","2003-10-17 11:24:40 AM","2021-07-19 12:00:00 PM"
"00918","00","Fortis Tower  Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","4 Herald Avenue","","1005018","Corner Brook","10","Newfoundland and Labrador","005","Long Range Mountains","CA","Canada","","","0.0000",1,"390.00",6,0,"No","48.952390","-57.952592",10,"0","Not Protected","Rural","1990-08-03 12:00:00 AM","2019-05-17 5:00:01 AM"
"00989","00","McCurdy Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","1 Markham Place","","1006009","Gander","10","Newfoundland and Labrador","003","Coast of Bays--Central--Notre Dame","CA","Canada","","","0.0000",1,"332.00",46,0,"No","48.959937","-54.613419",50,"0","Not Protected","Rural","2005-11-01 8:44:15 AM","2021-02-10 12:00:00 PM"
"01618","00","Budgen Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","Norris Point Rd.","","1009013","Rocky Harbour","10","Newfoundland and Labrador","005","Long Range Mountains","CA","Canada","","","0.0000",1,"202.00",11,0,"No","49.577184","-57.915077",100,"0","Not Protected","Rural","1990-08-03 12:00:00 AM","2019-05-17 5:00:01 AM"
"01944","00","551 Main Street Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","551 Main Street","Montague","1101045","Three Rivers","11","Prince Edward Island","001","Cardigan","CA","Canada","","","0.0000",1,"175.00",2,0,"No","46.165448","-62.649395",10,"0","Not Protected","Rural","1990-08-03 12:00:00 AM","2021-07-19 12:00:00 PM"
"01949","00","Chambers building","630","National Capital Commission","45 ","Office","10","Crown Owned","00","No Restriction","40 Elgin Street","","3506008","Ottawa","35","Ontario","075","Ottawa Centre","CA","Canada","","","0.2701",1,"7257.00",0,0,"Yes","45.423153","-75.695588",5,"0","Not Protected","Rural","1998-07-30 4:33:42 PM","2017-11-02 5:00:00 AM"
"02199","00","57 Central Street Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","57 Central Street","","1103025","Summerside","11","Prince Edward Island","003","Egmont","CA","Canada","","","0.0000",1,"1098.00",29,0,"No","46.393548","-63.791705",10,"0","Not Protected","Urban","2016-06-25 5:00:00 AM","2021-07-19 12:00:00 PM"
"02344","00","162 Mowatt Street Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","162 Mowatt Street","","1201008","Shelburne","12","Nova Scotia","009","South Shore--St. Margarets","CA","Canada","","","0.0097",2,"387.00",7,0,"No","43.763902","-65.322293",10,"0","Not Protected","Rural","2018-02-20 12:00:00 PM","2021-07-19 12:00:00 PM"
"02424","00","GC Site - Yarmouth","140","Public Services and Procurement Canada","45 ","Office","10","Crown Owned","00","No Restriction","215 Main Street","","1202006","Yarmouth","12","Nova Scotia","011","West Nova","CA","Canada","","","0.4492",1,"1278.00",24,0,"No","43.832333","-66.119544",10,"0","Not Protected","Urban","2019-11-12 12:00:00 PM","2021-07-19 12:00:00 PM"
"02425","00","GC Site - Yarmouth","140","Public Services and Procurement Canada","45 ","Office","10","Crown Owned","00","No Restriction","15 Willow St.","","1202006","Yarmouth","12","Nova Scotia","011","West Nova","CA","Canada","","","0.3050",1,"2711.00",31,0,"No","43.835256","-66.117020",50,"0","Not Protected","Urban","1990-08-03 12:00:00 AM","2021-07-19 12:00:00 PM"
"02665","00","Dawson B. Dauphinee Site","140","Public Services and Procurement Canada","45 ","Office","10","Crown Owned","00","No Restriction","77 Dufferin St.","","1206004","Bridgewater","12","Nova Scotia","009","South Shore--St. Margarets","CA","Canada","","","0.6023",1,"1818.00",61,0,"No","44.373448","-64.518621",50,"0","Not Protected","Urban","1990-08-03 12:00:00 AM","2018-03-26 12:00:00 PM"
"02734","00","495 Main Street Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","495 Main Street","","1207012","Kentville","12","Nova Scotia","007","Kings--Hants","CA","Canada","","","0.0000",1,"811.00",4,0,"No","45.077869","-64.500257",10,"0","Not Protected","Rural","2018-02-20 12:00:00 PM","2021-07-19 12:00:00 PM"
"02874","00","Bedford Trade Mart Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","99 Rocky Lake Road","","1209034","Halifax","12","Nova Scotia","006","Halifax West","CA","Canada","","","0.0000",1,"759.00",2,0,"No","44.737075","-63.647680",10,"0","Not Protected","Rural","1990-08-03 12:00:00 AM","2022-10-18 12:00:00 PM"
"02953","00","Law Courts Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","1815 Upper Water St.","","1209034","Halifax","12","Nova Scotia","005","Halifax","CA","Canada","","","0.0000",1,"236.00",0,2,"No","44.649831","-63.572261",100,"0","Not Protected","Rural","1990-08-03 12:00:00 AM","2019-05-17 5:00:01 AM"
"02963","00","Woodstock Border Crossing","155","Canada Border Services Agency","45 ","Office","10","Crown Owned","00","No Restriction","1403 Route 95, Belleville NB E7M 4Z9","Woodstock, New Brunswick","1311001","Richmond","13","New Brunswick","010","Tobique--Mactaquac","CA","Canada","","","14.4600",3,"1326.00",39,0,"No","46.137686","-67.780397",30,"0","Not Protected","Rural","1990-08-03 12:00:00 AM","2021-04-13 12:00:00 PM"
"02964","00","1888 Brunswick Street Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","1888 Brunswick Street","","1209034","Halifax","12","Nova Scotia","005","Halifax","CA","Canada","","","0.0000",1,"2079.00",0,0,"No","44.649335","-63.578507",50,"0","Not Protected","Rural","1990-08-03 12:00:00 AM","2021-07-19 12:00:00 PM"
"02968","00","Historic Properties Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","1869 Upper Water St.","","1209034","Halifax","12","Nova Scotia","005","Halifax","CA","Canada","","","0.0000",1,"2545.00",2,0,"No","44.650010","-63.573041",100,"0","Not Protected","Rural","1990-08-03 12:00:00 AM","2021-02-10 12:00:00 PM"
"03207","00","Enos Collins Site","140","Public Services and Procurement Canada","45 ","Office","10","Crown Owned","00","No Restriction","38-40 Havelock Street","","1211011","Amherst","12","Nova Scotia","003","Cumberland--Colchester","CA","Canada","","","0.3502",1,"3702.00",20,19,"No","45.834025","-64.209828",50,"0","Not Protected","Urban","1990-08-03 12:00:00 AM","2021-07-19 12:00:00 PM"
"03289","00","Site GC - New Glasgow","140","Public Services and Procurement Canada","45 ","Office","10","Crown Owned","00","No Restriction","340  East River Road","","1212014","New Glasgow","12","Nova Scotia","002","Central Nova","CA","Canada","","","0.5697",1,"1933.00",21,0,"No","45.583548","-62.644535",50,"0","Not Protected","Urban","1990-08-03 12:00:00 AM","2021-07-19 12:00:00 PM"
"03436","00","William Alexander Henry  Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","325 Main Street","","1214002","Antigonish","12","Nova Scotia","002","Central Nova","CA","Canada","","","0.0000",1,"330.00",1,0,"No","45.621991","-61.994074",10,"0","Not Protected","Urban","1990-08-03 12:00:00 AM","2021-07-19 12:00:00 PM"
"03480","00","Port Hawkesbury Town Centre Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","811 Reeves Street","","1215002","Port Hawkesbury","12","Nova Scotia","001","Cape Breton--Canso","CA","Canada","","","0.0000",1,"777.00",1,0,"No","45.613438","-61.349397",70,"0","Not Protected","Rural","1990-08-03 12:00:00 AM","2019-05-17 5:00:01 AM"
"03710","00","GC Site - Sydney Campus","140","Public Services and Procurement Canada","45 ","Office","10","Crown Owned","00","No Restriction","47-49 Dorchester Street","","1217030","Cape Breton","12","Nova Scotia","010","Sydney--Victoria","CA","Canada","","","1.3142",3,"8826.00",0,19,"No","46.141859","-60.195394",5,"0","Not Protected","Rural","1990-08-03 12:00:00 AM","2021-12-03 5:00:00 AM"
"03711","00","GC Site - Sydney","140","Public Services and Procurement Canada","45 ","Office","10","Crown Owned","00","No Restriction","308 George Street","Sydney","1217030","Cape Breton","12","Nova Scotia","010","Sydney--Victoria","CA","Canada","","","0.1296",1,"859.00",8,0,"No","46.140213","-60.193727",50,"0","Not Protected","Rural","1990-08-03 12:00:00 AM","2021-07-19 12:00:00 PM"
"03891","00","Customs Site","140","Public Services and Procurement Canada","45 ","Office","10","Crown Owned","00","No Restriction","189 Prince William St.","","1301006","Saint John","13","New Brunswick","009","Saint John--Rothesay","CA","Canada","","","0.2932",1,"6544.00",50,0,"No","45.269219","-66.061535",30,"0","Not Protected","Rural","1990-08-03 12:00:00 AM","2021-07-19 12:00:00 PM"
"03892","00","GC Site - Saint John","140","Public Services and Procurement Canada","45 ","Office","10","Crown Owned","00","No Restriction","126 Prince William Street","","1301006","Saint John","13","New Brunswick","009","Saint John--Rothesay","CA","Canada","","","0.2855",1,"9931.00",0,0,"No","45.270746","-66.061116",30,"0","Not Protected","Rural","1990-08-03 12:00:00 AM","2021-07-19 12:00:00 PM"
"03996","00","Campobello Border Crossing","155","Canada Border Services Agency","45 ","Office","10","Crown Owned","00","No Restriction","1 Route 774, Welshpool NB E5E 1A1","Campobello, New Brunswick","1302004","Campobello Island","13","New Brunswick","008","New Brunswick Southwest","CA","Canada","","","0.6475",2,"504.00",7,0,"No","44.860463","-66.976556",30,"0","Not Protected","Rural","1990-02-05 12:00:00 AM","2021-04-13 12:00:00 PM"
"04007","00","Campobello Island Satellite Office","162","Royal Canadian Mounted Police","45 ","Office","10","Crown Owned","00","No Restriction","920 Hwy 774","Campobello Island Satellite Office","1302004","Campobello Island","13","New Brunswick","008","New Brunswick Southwest","CA","Canada","","","0.5400",1,"135.00",0,0,"Yes","44.882910","-66.943217",30,"0","Not Protected","Rural","1990-08-08 12:00:00 AM","2021-12-13 12:00:00 PM"
"04009","00","Deer Island Point Border Crossing","155","Canada Border Services Agency","45 ","Office","10","Crown Owned","00","No Restriction","175 Deer Island Point Road, Cummings Cove Deer Island NB E5V 1G5","Deer Island Point, New Brunswick","1302006","West Isles","13","New Brunswick","008","New Brunswick Southwest","CA","Canada","","","0.0903",1,"94.00",0,0,"No","44.928555","-66.985978",30,"0","Not Protected","Rural","1990-02-05 12:00:00 AM","2021-04-16 12:00:00 PM"
"04073","00","Milltown Border Crossing (CBSA)","155","Canada Border Services Agency","45 ","Office","10","Crown Owned","00","No Restriction","480 Milltown Blvd., St. Stephen NB E3L 2X1","Milltown, New Brunswick","1302037","St. Stephen","13","New Brunswick","008","New Brunswick Southwest","CA","Canada","","","0.3554",1,"205.00",5,0,"No","45.171373","-67.296646",500,"0","Not Protected","Rural","1990-02-05 12:00:00 AM","2021-04-13 12:00:00 PM"
"04075","00","GC Site - St. Stephen","140","Public Services and Procurement Canada","45 ","Office","10","Crown Owned","00","No Restriction","93 Milltown Boulevard","","1302037","St. Stephen","13","New Brunswick","008","New Brunswick Southwest","CA","Canada","","","0.4621",1,"1697.00",0,3,"No","45.193297","-67.279866",25,"0","Not Protected","Rural","1990-08-03 12:00:00 AM","2021-07-19 12:00:00 PM"
"04077","00","GC Site - St. Stephen","155","Canada Border Services Agency","45 ","Office","10","Crown Owned","00","No Restriction","204  Milltown Boulevard, St.Stephen, New Brunswick, E3L 2X1","St.Stephen, New Brunswick","1302037","St. Stephen","13","New Brunswick","008","New Brunswick Southwest","CA","Canada","","","0.3743",2,"564.00",5,0,"No","45.192265","-67.283749",30,"0","Not Protected","Rural","1990-08-03 12:00:00 AM","2021-12-10 5:00:00 AM"
"04079","00","St. Stephen Office, District 1","162","Royal Canadian Mounted Police","45 ","Office","10","Crown Owned","00","No Restriction","46 Lisgar St","","1302037","St. Stephen","13","New Brunswick","008","New Brunswick Southwest","CA","Canada","","","0.1943",2,"340.00",0,0,"No","45.200780","-67.276180",30,"0","Not Protected","Rural","1990-08-08 12:00:00 AM","2022-11-28 12:00:00 PM"
"04378","00","Dominion Public Site","140","Public Services and Procurement Canada","45 ","Office","10","Crown Owned","00","No Restriction","1045 Main Street","","1307022","Moncton","13","New Brunswick","007","Moncton--Riverview--Dieppe","CA","Canada","","","1.0832",1,"19782.00",72,0,"No","46.087076","-64.785182",30,"0","Not Protected","Urban","1990-08-03 12:00:00 AM","2021-07-19 12:00:00 PM"
"04409","00","Office (at Moncton)","162","Royal Canadian Mounted Police","45 ","Office","10","Crown Owned","00","No Restriction","161 & 171 MacBeath Ave","","1307022","Moncton","13","New Brunswick","007","Moncton--Riverview--Dieppe","CA","Canada","","","1.1648",2,"2208.00",0,0,"No","46.106600","-64.806600",30,"0","Not Protected","Urban","1990-08-08 12:00:00 AM","2021-07-19 12:00:00 PM"
"04458","00","Centre Vaudreuil Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","2555 Dutrisac Street","","2471083","Vaudreuil-Dorion","24","Quebec","074","Vaudreuil--Soulanges","CA","Canada","","","0.0000",1,"914.00",0,0,"No","45.403617","-74.036449",100,"0","Not Protected","Rural","2003-10-17 11:24:40 AM","2021-07-19 12:00:00 PM"
"04466","00","Place de la Cité Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","550 De la Cité Boulevard","","2481017","Gatineau","24","Quebec","027","Gatineau","CA","Canada","","","0.0000",1,"30667.00",34,0,"No","45.484530","-75.679538",25,"0","Not Protected","Urban","2003-10-17 11:24:40 AM","2021-07-19 12:00:00 PM"
"04560","00","GC Site - Miramichi","140","Public Services and Procurement Canada","45 ","Office","10","Crown Owned","00","No Restriction","171 Duke Street and Henderson Street","","1309050","Miramichi","13","New Brunswick","006","Miramichi--Grand Lake","CA","Canada","","","0.1770",1,"1710.00",36,0,"No","47.030758","-65.467826",30,"0","Not Protected","Rural","1990-08-03 12:00:00 AM","2021-07-19 12:00:00 PM"
"04638","00","80 and 84 Bayview Rd.","630","National Capital Commission","45 ","Office","10","Crown Owned","00","No Restriction","80 and 84 Bayview Rd.","","3506008","Ottawa","35","Ontario","075","Ottawa Centre","CA","Canada","","","0.2665",0,"0.00",0,0,"Yes","45.408637","-75.726977",1,"0","Not Protected","Rural","2016-12-14 12:00:00 PM","2020-03-20 12:00:00 PM"
"04652","00","GC Site - St. Croix","155","Canada Border Services Agency","45 ","Office","10","Crown Owned","00","No Restriction","2785  Route 4, St.Croix, New Brunswick, E6J 2A7","Saint Croix","1310007","McAdam","13","New Brunswick","008","New Brunswick Southwest","CA","Canada","","","0.3031",1,"149.00",8,0,"No","45.568231","-67.427538",1000,"0","Not Protected","Isolated","1990-08-03 12:00:00 AM","2021-04-13 12:00:00 PM"
"04654","00","Fosterville Border Crossing (CBSA)","155","Canada Border Services Agency","45 ","Office","10","Crown Owned","00","No Restriction","4575 Route 122, Fosterville NB E6H 2B6","Fosterville, New Brunswick","1310008","North Lake","13","New Brunswick","010","Tobique--Mactaquac","CA","Canada","","","0.8094",2,"164.00",6,0,"No","45.816291","-67.780379",30,"0","Not Protected","Isolated","1990-02-05 12:00:00 AM","2021-04-13 12:00:00 PM"
"04664","00","Constitution Square","510","Defence Construction Canada","45 ","Office","24","Lease or Licence","00","No Restriction","19th Floor, 350 Albert St, Ottawa, ON, K1A 0K3","","3506008","Ottawa","35","Ontario","075","Ottawa Centre","CA","Canada","","","0.0000",1,"1587.00",0,0,"Yes","45.418620","-75.703400",25,"0","Not Protected","Rural","2004-04-19 8:43:39 AM","2022-10-11 12:00:00 PM"
"04665","00","Melcor REIT","510","Defence Construction Canada","45 ","Office","24","Lease or Licence","00","No Restriction","210-13220 St. Albert Trail, Ottawa, ON, T5L 4W1","","4811061","Edmonton","48","Alberta","015","Edmonton Griesbach","CA","Canada","","","0.0000",1,"511.00",0,0,"Yes","53.592690","-113.567340",100,"0","Not Protected","Urban","2005-04-05 10:08:59 AM","2022-10-11 12:00:00 PM"
"04670","00","Minto Place","510","Defence Construction Canada","45 ","Office","24","Lease or Licence","00","No Restriction","180 Kent St, 14th floor, Ottawa, ON, K1P 0B6","","3506008","Ottawa","35","Ontario","075","Ottawa Centre","CA","Canada","","","0.0000",1,"1932.00",0,0,"Yes","45.418579","-75.703361",25,"0","Not Protected","Rural","2017-06-24 5:00:00 AM","2022-10-11 12:00:00 PM"
"04674","00","FCC Moncton ","530","Farm Credit Canada","45 ","Office","24","Lease or Licence","00","No Restriction","100 - 1133 St. George Boulevard","Moncton - 1st Floor","1307022","Moncton","13","New Brunswick","007","Moncton--Riverview--Dieppe","CA","Canada","","","0.0000",1,"2034.00",0,0,"No","46.081490","-64.831603",100,"0","Not Protected","Urban","1998-09-16 7:46:09 AM","2021-04-09 12:00:00 PM"
"04677","00","FCC Duncan","530","Farm Credit Canada","45 ","Office","24","Lease or Licence","00","No Restriction","202 - 2700 Beverly Street","Duncan","5919008","North Cowichan","59","British Columbia","010","Cowichan--Malahat--Langford","CA","Canada","","","0.0000",1,"202.00",0,0,"Yes","48.786540","-123.702960",100,"0","Not Protected","Rural","1998-11-23 7:43:28 AM","2021-04-09 12:00:00 PM"
"04680","00","FCC Kanata","530","Farm Credit Canada","45 ","Office","24","Lease or Licence","00","No Restriction","102-309 Legget Drive","Kanata","3506008","Ottawa","35","Ontario","041","Kanata--Carleton","CA","Canada","","","0.0000",1,"1797.00",0,0,"Yes","45.341408","-75.904693",100,"0","Not Protected","Rural","2000-01-12 7:53:53 AM","2022-10-18 12:00:00 PM"
"04685","00","FCC Surrey","530","Farm Credit Canada","45 ","Office","24","Lease or Licence","00","No Restriction","Unit 310 - 5460-152nd Street","Surrey","5915004","Surrey","59","British Columbia","030","South Surrey--White Rock","CA","Canada","","","0.0000",1,"878.00",0,0,"Yes","49.102238","-122.799029",100,"0","Not Protected","Urban","2005-12-19 10:31:00 AM","2021-04-09 12:00:00 PM"
"04718","00","GC Site - Woodstock","140","Public Services and Procurement Canada","45 ","Office","10","Crown Owned","00","No Restriction","680 Main Street and Regent Street","","1311006","Woodstock","13","New Brunswick","010","Tobique--Mactaquac","CA","Canada","","","0.1405",1,"1845.00",5,3,"No","46.151223","-67.572651",25,"0","Not Protected","Rural","1990-08-03 12:00:00 AM","2021-07-19 12:00:00 PM"
"04724","00","Bloomfield Border Crossing (CBSA)","155","Canada Border Services Agency","45 ","Office","10","Crown Owned","00","No Restriction","185 Line Road, Bloomfield, Carleton County NB E7K 1C5","Bloomfield, New Brunswick","1311018","Wilmot","13","New Brunswick","010","Tobique--Mactaquac","CA","Canada","","","0.2023",1,"70.00",5,0,"No","46.317159","-67.781702",30,"0","Not Protected","Rural","1990-02-05 12:00:00 AM","2021-04-14 5:00:00 AM"
"04728","00","Centreville Border Crossing","155","Canada Border Services Agency","45 ","Office","10","Crown Owned","00","No Restriction","1449 Route, 110 Royalton NB E7K 2E3 ","Centreville, New Brunswick","1311031","Wicklow","13","New Brunswick","010","Tobique--Mactaquac","CA","Canada","","","0.5035",2,"222.00",7,0,"No","46.451063","-67.784196",100,"0","Not Protected","Rural","1990-08-03 12:00:00 AM","2021-04-13 12:00:00 PM"
"04732","00","GC Site - Florenceville","140","Public Services and Procurement Canada","45 ","Office","10","Crown Owned","00","No Restriction","273- 275 Main Street; west on Rte. 2","East Florenceville","1311027","Florenceville-Bristol","13","New Brunswick","010","Tobique--Mactaquac","CA","Canada","","","0.1751",1,"282.00",10,0,"No","46.443081","-67.618168",200,"0","Not Protected","Rural","1991-11-20 12:00:00 AM","2021-07-19 12:00:00 PM"
"04739","00","River de Chute Border Crossing","155","Canada Border Services Agency","45 ","Office","10","Crown Owned","00","No Restriction","205 Smugglers Road, River de Chute NB E7H 4X5","River de Chute, New Brunswick","1311031","Wicklow","13","New Brunswick","010","Tobique--Mactaquac","CA","Canada","","","0.6070",2,"291.00",3,0,"No","46.600029","-67.785699",100,"0","Not Protected","Rural","1990-02-05 12:00:00 AM","2021-04-13 12:00:00 PM"
"04740","00","Andover Border Crossing","155","Canada Border Services Agency","45 ","Office","10","Crown Owned","00","No Restriction","6 Route 190, Carlingford NB E7H 5H6","Andover, New Brunswick","1312001","Andover","13","New Brunswick","010","Tobique--Mactaquac","CA","Canada","","","2.0000",2,"972.00",27,0,"No","46.765070","-67.788074",30,"0","Not Protected","Rural","1990-08-03 12:00:00 AM","2021-04-14 5:00:00 AM"
"04757","00","Gillespie Border Crossing (CBSA)","155","Canada Border Services Agency","45 ","Office","10","Crown Owned","00","No Restriction","600-Highway 375, Grand Falls NB E3Z 1Z6","Gillespie Portage, New Brunswick","1312016","Grand Falls","13","New Brunswick","010","Tobique--Mactaquac","CA","Canada","","","0.3330",2,"255.00",0,0,"No","46.924802","-67.789043",30,"0","Not Protected","Rural","1990-02-05 12:00:00 AM","2021-12-16 5:00:01 AM"
